CourseNumber,CourseTitle,CourseDescription,CourseDepartment
BMME 486,Biomedical Instrumentation Design and Prototyping II," Students will build upon skills learned in BMME 386 and assume project leadership roles as well as team management roles for more complex projects involving design, fabrication, assembly, testing, deployment, and incorporation of user feedback in the design and fabrication of components and systems for research and technology development in biomedical engineering.  Students will interact with highly experienced faculty to develop and deploy design solutions for BME laboratories and technology spin-outs.",BIOMEDICAL ENGINEERING
BMME 490,Special Topics in Biomedical Engineering,A study in the special fields under the direction of the faculty. Offered as needed for presenting material not normally available in regular BMME courses. Majors only.,BIOMEDICAL ENGINEERING
BMME 495,Undergraduate Research in Biomedical Engineering as a Technical Elective,Opportunity for hands-on faculty mentored research project in biomedical engineering. Approved plan of work required with significant independent research culminating in a final paper and presentation at an appropriate venue. Departmental approval required. Course may not be repeated. Permission of department.,BIOMEDICAL ENGINEERING
BMME 505,Skeletal Biomechanics," A firm understanding of the principles of mechanics is an important foundation to biomechanics. In this course, students will study the mechanics of materials with applications to the strength of bone, implant analysis, and testing of biological materials. A goal of this course is for students to understand how the interface of biology, mechanics, and therapies affect skeletal pathological conditions.",BIOMEDICAL ENGINEERING
BMME 511,Genetic Engineering," The course introduces the engineering principles used to modify cells in a variety of biomedical applications. The format includes lectures, discussion of primary research literature, and application of engineering design principles through student projects. The goals are to 1) discuss genome editing technologies, 2) evaluate strategies for cellular reprogramming and directed differentiation of stem cells, and 3) illustrate how genetic modification can be harnessed for cellular therapy and research applications such as animal models.",BIOMEDICAL ENGINEERING
BMME 523,Biomolecular Engineering," This course introduces the use and creation of biomolecules for biomedical applications to foster the development of a mission oriented research plan to create engineered biomolecules for biomedical applications. Students will search, prepare, evaluate, design, and simulate biomolecules through lectures on the basic chemical and structural properties of biomolecules, exploiting varieties of biomolecules, practical methods to engineer biomolecules, and development of a student research plan. BME students only.",BIOMEDICAL ENGINEERING
BMME 524,Biomolecular Sensing Technologies," This course introduces the science and technology of biomolecular sensing technologies, the essence of biosensors, and biochemical and immunological in vitro/in vivo diagnostic devices. The focus of  the  class is biomolecules (enzymes, antibodies, binding proteins, receptors, aptamers, molecularly imprinted polymers, etc.), bioelectronics and biochemical principles employed in biosensor development. Majors only.",BIOMEDICAL ENGINEERING
BMME 527,Targeted Photomedicine," This course will introduce students to fundamental concepts and engineering approaches in targeted photomedicine, particularly for the treatment of cancer. Students will review and present research articles on emerging applications of photomedicine. The major deliverable will be an NIH-style research proposal, based on lecture material and a literature review, to help students gain an understanding of advancements in targeted photomedicine.",BIOMEDICAL ENGINEERING
BMME 550,"Medical Imaging I: Ultrasonic, Optical, and Magnetic Resonance Systems"," Physical and mathematical foundations of ultrasonic, optical, and magnetic resonance imaging systems in application to medical diagnostics. Each imaging modality is examined, highlighting critical system characteristics: underlying physics of the imaging system, including mechanisms of data generation and acquisition; image creation; and relevant image processing methods, such as noise reduction.",BIOMEDICAL ENGINEERING
BMME 551,Medical Device Design I,Student multidisciplinary teams work with local medical professionals to define specific medical device concepts for implementation.,BIOMEDICAL ENGINEERING
BMME 552,Medical Device Design II,Device prototypes designed in the first course in series.  Good manufacturing practices; process validation; FDA quality system regulations; design verification and validation; regulatory approval planning; and intellectual property protection.,BIOMEDICAL ENGINEERING
BMME 560,"Medical Imaging II: X-Ray, CT, and Nuclear Medicine Systems", Overview of medical imaging systems using ionizing radiation. Interaction of radiation with matter. Radiation production and detection. Radiography systems and applications. Tomography. PET and SPECT systems and applications.,BIOMEDICAL ENGINEERING
BMME 565,Biomedical Instrumentation I,"Graduate students or permission of the instructor. Topics include basic electronic circuit design, analysis of medical instrumentation circuits, physiologic transducers (pressure, flow, bioelectric, temperate, and displacement). This course includes a laboratory where the student builds biomedical devices.",BIOMEDICAL ENGINEERING
BMME 575,Practical Machine Learning for Biosignal Analysis," This graduate level course will introduce practical machine learning concepts and tools, and will exemplify their application to the analysis of biological signals and images, including brain imaging, electrophysiology, and image recognition. MATH 347 recommended.",BIOMEDICAL ENGINEERING
BMME 576,Mathematics for Image Computing, Mathematics relevant to image processing and analysis using real image computing objectives and provided by computer implementations.,BIOMEDICAL ENGINEERING
BMME 581,Microcontroller Applications II," Advanced topics in microcontroller systems used for biomedical instruments.  Problems of interfacing computers with biomedical systems are studied. Students collaborate to develop a new biomedical instrument. Platforms could include the use of digital signal processing (DSP) microcontrollers or field programmable gate arrays (FPGAs), and topics could include applications such as digital signal processing and high speed data acquisition to computers.",BIOMEDICAL ENGINEERING
BMME 681,Human Factors Engineering and Quality Management Systems for Engineers,"This course teaches human factors engineering, risk assessment, and quality management systems. At the end of the course, students will be able to apply their knowledge to their senior design project and test for a six sigma green belt certification.",BIOMEDICAL ENGINEERING
BMME 691H,Honors Thesis,"Research honors course. Prior approval needed from the chair or associate chair of the program for topic selection and faculty research mentor. Minimum GPA requirement, written report, and abstract requirements as set forth by the honors program.",BIOMEDICAL ENGINEERING
BMME 692H,Honors Thesis,"Research honors thesis continuation with required GPA, research topic selection with approved faculty mentor.  Written abstract and report per honors program guidelines submitted by specific deadlines.",BIOMEDICAL ENGINEERING
BMME 697,BME Senior Design:  Product Development, This course is part of a three year sequence and it expands on the skills and knowledge gained in BM(M)E 398. Students continue to learn the process of engineering design and learn new skills to produce solutions for unmet medical needs. Majors only.,BIOMEDICAL ENGINEERING
BMME 698,Biomedical Engineering Senior Design: Product Implementation and Strategy, This course is part of a three-year sequence and it expands on the skills and knowledge gained in prior design courses. Students continue to learn the process of engineering design and learn new skills to produce solutions for unmet medical needs. Implementation phase of the senior design experience.,BIOMEDICAL ENGINEERING
BMME 740,Advanced Biomaterials," Medical or dental implants or explants are highlighted from textbooks, scientific literature, and personal accounts.",BIOMEDICAL ENGINEERING
BMME 770,Physiology and Methods in Genomics,"Lectures in physiology systems and lab techniques covering various functional genomic methods including DNA sequencing, gene arrays, proteomics, confocal microscopy, and imaging modalities.",BIOMEDICAL ENGINEERING
BMME 775,Image Processing and Analysis," Approaches to analysis of digital images. Scale geometry, statistical pattern recognition, optimization. Segmentation, registration, shape analysis. Applications, software tools.",BIOMEDICAL ENGINEERING
BMME 780,Advanced Materials Science,"This course covers the physical fundamentals of material science with an in-depth discussion of structure formation in soft and hard materials and how structure determines material mechanical, electrical, thermal, and optical properties. Topics include amorphous and crystal structures, defects, dislocation theory, thermodynamics and phase diagrams, diffusion, interfaces and microstructures, solidification, and theory of phase transformation. Special emphasis will be on the structure-property relationships of (bio)polymers, (nano)composites, and their structure property relationships.",BIOMEDICAL ENGINEERING
BMME 790,Graduate Systems Physiology, This is the second semester of the two-semester series intended to provide graduate students with an introduction to systems and organ physiology.,BIOMEDICAL ENGINEERING
BMME 795,Information Processing in the Central Nervous System," Introduction to methodologies used to characterize a) the aggregate behavior of living neural networks and b) the changes in that behavior that occurs as a function of stimulus properties, pharmacological manipulations, and other factors that dynamically modify the functional status of the network.",BIOMEDICAL ENGINEERING
BMME 796,Seminar in Biomedical Imaging Science,"This course serves as a gateway course to the Graduate Certificate in Biomedical Imaging Science.  This course offers an introduction to the most common imaging modalities, including MR, CT, PET, SPECT, ultrasound, and optical imaging. Lectures include discussions of hardware, physics, as well as pre-clinical and clinical applications.",BIOMEDICAL ENGINEERING
BMME 810,Digital Nuclear Imaging, Advanced topics of physics and instrumentation in nuclear imaging and magnetic resonance techniques.,BIOMEDICAL ENGINEERING
BMME 840,Rehabilitation Engineering Design, Students will design an assistive technology device to help individuals with disabilities to become more independent. The project will be used in the community when it is completed.,BIOMEDICAL ENGINEERING
BMME 890,Special Topics,Permission of the instructor. Special library and/or laboratory work on an individual basis on specific problems in biomedical engineering and biomedical mathematics. Direction of students is on a tutorial basis and subject matter is selected on the basis of individual needs and interests.,BIOMEDICAL ENGINEERING
BMME 900,Research in Biomedical Engineering and Biomathematics,Permission of the instructor.,BIOMEDICAL ENGINEERING
BMME 993,Master's Research and Thesis,No information available for this course,BIOMEDICAL ENGINEERING
BMME 994,Doctoral Research and Dissertation,No information available for this course,BIOMEDICAL ENGINEERING
BIOS 392,Undergraduate Internship,Academic credit for approved internship experience.,BIOSTATISTICS
BIOS 396,Readings in Biostatistics,Directed readings or laboratory study. May be taken more than once. Two to six laboratory hours a week.,BIOSTATISTICS
BIOS 500H,Introduction to Biostatistics," Access to SAS, Excel required. Permission of instructor for nonmajors. Introductory course in probability, data analysis, and statistical inference designed for B.S.P.H. biostatistics students. Topics include sampling, descriptive statistics, probability, confidence intervals, tests of hypotheses, chi-square distribution, 2-way tables, power, sample size, ANOVA, non-parametric tests, correlation, regression, survival analysis.",BIOSTATISTICS
BIOS 511,Introduction to Statistical Computing and Data Management,"Required preparation, previous or concurrent course in applied statistics. Permission of instructor for nonmajors. Introduction to use of computers to process and analyze data, concepts and techniques of research data management, and use of statistical programming packages and interpretation.  Focus is on use of SAS for data management and reporting.",BIOSTATISTICS
BIOS 512,Data Science Basics," Students will gain proficiency with R, data wrangling, data quality control and cleaning, data visualization, exploratory data analysis, with an overall emphasis on the principles of good data science, particularly reproducible research. The course will also develop familiarity with several software tools for data science best practices, such as Git, Docker, Jupyter, Make, and Nextflow.",BIOSTATISTICS
BIOS 540,Problems in Biostatistics,Arrangements to be made with the faculty in each case. A course for students of public health who wish to make a study of some special problem in the statistics of the life sciences and public health. Honors version available.,BIOSTATISTICS
BIOS 600,Principles of Statistical Inference,"Required preparation, knowledge of basic descriptive statistics. Major topics include elementary probability theory, probability distributions, estimation, tests of hypotheses, chi-squared procedures, regression, and correlation.",BIOSTATISTICS
BIOS 611,Introduction to Data Science," Topics will include gaining proficiency with R and Python, data wrangling, data quality control and cleaning, data visualization, exploratory data analysis, and introductory applied optimization, with an overall emphasis on the principles of good data science, particularly reproducible research. Some emphasis will be given to large data settings such as genomics or claims data. The course will also develop familiarity with software tools for data science best practices, such as Git, Docker, Jupyter, and Nextflow.",BIOSTATISTICS
BIOS 635,Introduction to Machine Learning, This course will be an introductory course to machine learning. The goal is to equip students with knowledge of existing tools for data analysis and to get students prepared for more advanced courses in machine learning. This course is restricted to SPH Master of Public Health students.,BIOSTATISTICS
BIOS 641,Quantitative Methods for Health Care Professionals I,"Course is designed to meet the needs of health care professionals to appraise the design and analysis of medical and health care studies and who intend to pursue academic research careers. Covers basics of statistical inference, analysis of variance, multiple regression, categorical data analysis. Previously offered as PUBH 741. Permission of instructor.",BIOSTATISTICS
BIOS 642,Quantitative Methods for Health Care Professionals II, Continuation of BIOS 641. Main emphasis is on logistic regression; other topics include exploratory data analysis and survival analysis. Previously offered as PUBH 742.,BIOSTATISTICS
BIOS 645,Principles of Experimental Analysis," Required preparation, basic familiarity with statistical software (preferably SAS able to do multiple linear regression) and introductory biostatistics, such as BIOS 600. Continuation of BIOS 600. Analysis of experimental and observational data, including multiple regression and analysis of variance and covariance. Previously offered as BIOS 545. Permission of the instructor for nonmajors.",BIOSTATISTICS
BIOS 650,Basic Elements of Probability and Statistical Inference I,"Required preparation, two semesters of calculus (such as MATH 231, 232). Fundamentals of probability; discrete and continuous distributions; functions of random variables; descriptive statistics; fundamentals of statistical inference, including estimation and hypothesis testing.",BIOSTATISTICS
BIOS 660,Probability and Statistical Inference I,"Required preparation, three semesters of calculus (such as MATH 231, 232, 233). Introduction to probability; discrete and continuous random variables; expectation theory; bivariate and multivariate distribution theory; regression and correlation; linear functions of random variables; theory of sampling; introduction to estimation and hypothesis testing. Students may not receive credit for both BIOS 660 and BIOS 672.",BIOSTATISTICS
BIOS 661,Probability and Statistical Inference II," Distribution of functions of random variables; Helmert transformation theory; central limit theorem and other asymptotic theory; estimation theory; maximum likelihood methods; hypothesis testing; power; Neyman-Pearson Theorem, likelihood ratio, score, and Wald tests; noncentral distributions. Students may not receive credit for both BIOS 661 and BIOS 673.",BIOSTATISTICS
BIOS 662,Intermediate Statistical Methods," Principles of study design, descriptive statistics, sampling from finite and infinite populations, inferences about location and scale. Both distribution-free and parametric approaches are considered. Gaussian, binomial, and Poisson models, one-way and two-way contingency tables.",BIOSTATISTICS
BIOS 663,Intermediate Linear Models,"Required preparation, BIOS 662. Matrix-based treatment of regression, one-way and two-way ANOVA, and ANCOVA, emphasizing the general linear model and hypothesis, as well as diagnostics and model building. Reviews matrix algebra. Includes statistical power for linear models and binary response regression methods.",BIOSTATISTICS
BIOS 664,Sample Survey Methodology," Fundamental principles and methods of sampling populations, with emphasis on simple, random, stratified, and cluster sampling. Sample weights, nonsampling error, and analysis of data from complex designs are covered. Practical experience through participation in the design, execution, and analysis of a sampling project.",BIOSTATISTICS
BIOS 665,Analysis of Categorical Data," Introduction to the analysis of categorized data: rates, ratios, and proportions; relative risk and odds ratio; Cochran-Mantel-Haenszel procedure; survivorship and life table methods; linear models for categorical data. Applications in demography, epidemiology, and medicine.",BIOSTATISTICS
BIOS 667,Applied Longitudinal Data Analysis,"Analysis of variance and multiple linear regression course at the level of BIOS 663 required. Familiarity with matrix algebra required. Univariate and multivariate repeated measures ANOVA, GLM for longitudinal data, linear mixed models. Estimation and inference, maximum and restricted maximum likelihood, fixed and random effects.",BIOSTATISTICS
BIOS 668,Design of Public Health Studies," Statistical concepts in basic public health study designs: cross-sectional, case-control, prospective, and experimental (including clinical trials). Validity, measurement of response, sample size determination, matching and random allocation methods.",BIOSTATISTICS
BIOS 669,Working with Data in a Public Health Research Setting," Provides a foundation and training for working with data from clinical trials or research studies. Topics: issues in study design, collecting quality data, using SAS and SQL to transform data, typical reports, data closure and export, and working with big data.",BIOSTATISTICS
BIOS 670,Demographic Techniques I,"Source and interpretation of demographic data; rates and ratios, standardization, complete and abridged life tables; estimation and projection of fertility, mortality, migration, and population composition.",BIOSTATISTICS
BIOS 672,Probability and Statistical Inference I,"Required preparation, three semesters of calculus. Introduction to probability; discrete and continuous random variables; combinatorics; expectation; random sums, multivariate distributions; functions of random variables; theory of sampling; convergence of sequences, power series, types of convergence, L'Hopital's rule, differentiable functions, Lebesgue integration, Fubini's theorem, convergence theorems, complex variables, Laplace transforms, inversion formulas.",BIOSTATISTICS
BIOS 673,Probability and Statistical Inference II," Distribution of functions of random variables; central limit theorem and other asymptotic theory; estimation theory; hypothesis testing; Neyman-Pearson Theorem, likelihood ratio, score, and Wald tests; noncentral distributions. Advanced problems in statistical inferences, including information inequality, best unbiased estimators, Bayes estimators, asymptotically efficient estimation, nonparametric estimation and tests, simultaneous confidence intervals.",BIOSTATISTICS
BIOS 680,Introductory Survivorship Analysis," Introduction to concepts and techniques used in the analysis of time to event data, including censoring, hazard rates, estimation of survival curves, regression techniques, applications to clinical trials.",BIOSTATISTICS
BIOS 690,Special Topics in Biostatistics,Field/topical/research seminar. Instructors use this course to offer instruction in particular topics or approaches.,BIOSTATISTICS
BIOS 691,Field Observations in Biostatistics,"Field visits to, and evaluation of, major nonacademic biostatistical programs in the Research Triangle area. Field fee: $25.",BIOSTATISTICS
BIOS 693H,Honors Research in Biostatistics,Directed research. Written and oral reports required.,BIOSTATISTICS
BIOS 694H,Honors Research in Biostatistics,Directed research. Written and oral reports required.,BIOSTATISTICS
BIOS 700,Research Skills in Biostatistics, Permission of the department for students with passing grade of either doctoral qualifying examination in biostatistics. BIOS 700 will introduce doctoral students in biostatistics to research skills necessary for writing a dissertation and for a career in research.,BIOSTATISTICS
BIOS 735,Statistical Computing - Basic Principles and Applications," Required preparation, one undergraduate-level programming class. Teaches important concepts and skills for statistical software development using case studies. After this course, students will have an understanding of the process of statistical software development, knowledge of existing resources for software development, and the ability to produce reliable and efficient statistical software.",BIOSTATISTICS
BIOS 740,Specialized Methods in Health Statistics,"Permission of the instructor. Statistical theory applied to special problem areas of timely importance in the life sciences and public health. Lectures, seminars, and/or laboratory work, according to the nature of the special area under study.",BIOSTATISTICS
BIOS 745,Intercellular Signaling in Development and Disease,"This graduate-level course concentrates on up-to-date views of intercellular signal processing, with emphasis on signal transduction mechanisms as they relate to cellular/physiological responses in both normal development and disease. Signaling mechanisms that will be discussed include autocrine, paracrine, juxtacrine signaling and cell-matrix interactions.",BIOSTATISTICS
BIOS 752,Design and Analysis of Clinical Trials," This course will introduce the methods used in clinical. Topics include dose-finding trials, allocation to treatments in randomized trials, sample size calculation, interim monitoring, and non-inferiority trials.",BIOSTATISTICS
BIOS 756,Advanced Nonparametric Methods in Biometric Research," Theory and application of nonparametric methods for various problems in statistical analysis. Includes procedures based on randomization, ranks and U-statistics. A knowledge of elementary computer programming is assumed.",BIOSTATISTICS
BIOS 759,Applied Time Series Analysis," Topics include correlograms, periodograms, fast Fourier transforms, power spectra, cross-spectra, coherences, ARMA and transfer-function models, spectral-domain regression. Real and simulated data sets are discussed and analyzed using popular computer software packages.",BIOSTATISTICS
BIOS 760,Advanced Probability and Statistical Inference I," Measure space, sigma-field, measurable functions, integration, conditional probability, distribution functions, characteristic functions, convergence modes, SLLN, CLT, Cramer-Wold device, delta method, U-statistics, martingale central limit theorem, UMVUE, estimating function, MLE, Cramer-Rao lower bound, information bounds, LeCam's lemmas, consistency, efficiency, EM algorithm.",BIOSTATISTICS
BIOS 761,Advanced Probability and Statistical Inference II," Elementary decision theory: admissibility, minimaxity, loss functions, Bayesian approaches. Hypothesis testing: Neyman-Pearson theory, UMP and unbiased tests, invariance, confidence sets, contiguous alternatives. Elements of stochastic processes: Poisson processes, renewal theory, Markov chains, martingales, Brownian motion.",BIOSTATISTICS
BIOS 762,Theory and Applications of Linear and Generalized Linear Models," Linear algebra, matrix decompositions, estimability, multivariate normal distributions, quadratic forms, Gauss-Markov theorem, hypothesis testing, experimental design, general likelihood theory and asymptotics, delta method, exponential families, generalized linear models for continuous and discrete data, categorical data, nuisance parameters, over-dispersion, multivariate linear model, generalized estimating equations, and regression diagnostics.",BIOSTATISTICS
BIOS 764,Advanced Survey Sampling Methods," Continuation of BIOS 664 for advanced students: stratification, special designs, multistage sampling, cost studies, nonsampling errors, complex survey designs, employing auxiliary information, and other miscellaneous topics.",BIOSTATISTICS
BIOS 765,Models and Methodology in Categorical Data," Theory and application of methods for categorical data including maximum likelihood, estimating equations and chi-square methods for large samples, and exact inference for small samples.",BIOSTATISTICS
BIOS 767,Longitudinal Data Analysis," Presents modern approaches to the analysis of longitudinal data.  Topics include linear mixed effects models, generalized linear models for correlated data (including generalized estimating equations), computational issues and methods for fitting models, and dropout or other missing data.",BIOSTATISTICS
BIOS 771,Demographic Techniques II," Required preparation, integral calculus. Life table techniques; methods of analysis when data are deficient; population projection methods; interrelations among demographic variables; migration analysis; uses of population models.",BIOSTATISTICS
BIOS 772,Statistical Analysis of MRI Images,The course will review major statistical methods for the analysis of MRI and its applications in various studies.,BIOSTATISTICS
BIOS 773,Statistical Analysis with Missing Data," Fundamental concepts, including classifications of missing data, missing covariate and/or response data in linear models, generalized linear models, longitudinal data models, and survival models. Maximum likelihood methods, multiple imputation, fully Bayesian methods, and weighted estimating equations. Focus on biomedical sciences case studies. Software packages include WinBUGS, SAS, and R.",BIOSTATISTICS
BIOS 774,Statistical Learning and High Dimensional Data," Introductory overview of statistical learning methods and high-dimensional data analysis. Involves three major components: supervised or unsupervised learning methods, statistical learning theory, and statistical methods for high-dimensional data including variable selection and multiple testing. Real examples are used.",BIOSTATISTICS
BIOS 775,Statistical Methods in Diagnostic Medicine," Statistical concepts and techniques for evaluating medical diagnostic tests and biomarkers for detecting disease. Measures for quantifying test accuracy. Statistical procedures for estimating and comparing these quantities, including regression modeling. Real data will be used to illustrate the methods. Developments in recent literature will be covered.",BIOSTATISTICS
BIOS 776,Causal Inference in Biomedical Research," This course will consider drawing inference about causal effects in a variety of settings using the potential outcomes framework. Topics covered include causal inference in randomized experiments and observational studies, bounds and sensitivity analysis, propensity scores, graphical models, and other areas.",BIOSTATISTICS
BIOS 777,Mathematical Models in Demography,"Permission of the instructor. A detailed presentation of natality models, including necessary mathematical methods, and applications; deterministic and stochastic models for population growth, migration.",BIOSTATISTICS
BIOS 779,Bayesian Statistics," Topics include Bayes' theorem, the likelihood principle, prior distributions, posterior distributions, predictive distributions, Bayesian modeling, informative prior elicitation, model comparisons, Bayesian diagnostic methods, variable subset selection, and model uncertainty. Markov chain Monte Carlo methods for computation are discussed in detail.",BIOSTATISTICS
BIOS 780,Theory and Methods for Survival Analysis," Counting process-martingale theory, Kaplan-Meier estimator, weighted log-rank statistics, Cox proportional hazards model, nonproportional hazards models, multivariate failure time data.",BIOSTATISTICS
BIOS 781,Statistical Methods in Human Genetics," An introduction to statistical procedures in human genetics, Hardy-Weinberg equilibrium, linkage analysis (including use of genetic software packages), linkage disequilibrium and allelic association.",BIOSTATISTICS
BIOS 782,Statistical Methods in Genetic Association Studies," This course provides a comprehensive survey of the statistical methods for the designs and analysis of genetic association studies, including genome-wide association studies and next-generation sequencing studies. The students will learn the theoretical justifications for the methods as well as the skills to apply them to real studies.",BIOSTATISTICS
BIOS 784,Introduction to Computational Biology," Molecular biology, sequence alignment, sequence motifs identification by Monte Carlo Bayesian approaches, dynamic programming, hidden Markov models, computational algorithms, statistical software, high-throughput sequencing data and its application in computational biology.",BIOSTATISTICS
BIOS 785,Statistical Methods for Gene Expression Analysis," Clustering algorithms, classification techniques, statistical techniques for analyzing multivariate data, analysis of high dimensional data, parametric and semiparametric models for DNA microarray data, measurement error models, Bayesian methods, statistical software, sample size determination in microarray studies, applications to cancer.",BIOSTATISTICS
BIOS 791,Empirical Processes and Semiparametric Inference," Theory and applications of empirical process methods to semiparametric estimation and inference for statistical models with both finite and infinite dimensional parameters. Topics include bootstrap, Z-estimators, M-estimators, semiparametric efficiency.",BIOSTATISTICS
BIOS 841,Principles of Statistical Collaboration and Leadership,"An introduction to the statistical collaborative process and leadership skills. Emphasized topics include problem solving, study design, data analysis, ethical conduct, teamwork, career paths, data management, written and oral communication with scientists and collaborators.",BIOSTATISTICS
BIOS 842,Practice in Statistical Consulting," Under supervision of a faculty member, the student interacts with research workers in the health sciences, learning to abstract the statistical aspects of substantive problems, to provide appropriate technical assistance, and to communicate statistical results.",BIOSTATISTICS
BIOS 843,Seminar in Biostatistics,This seminar course is intended to give students exposure ot cutting edge research topics and hopefully help them in their choice of a thesis topic. It also allows the student to meet and learn from major researchers in the field.,BIOSTATISTICS
BIOS 844,Leadership in Biostatistics," Using lectures and group exercises, students are taught where and how biostatisticians can offer leadership in both academic and nonacademic public health settings.",BIOSTATISTICS
BIOS 850,Training in Statistical Teaching in the Health Sciences,"Required preparation, a minimum of one year of graduate work in statistics. Principles of statistical pedagogy. Students assist with teaching elementary statistics to students in the health sciences. Students work under the supervision of the faculty, with whom they have regular discussions of methods, content, and evaluation of performance.",BIOSTATISTICS
BIOS 889,Research Seminar in Biostatistics,Permission of the instructor. Seminar on new research developments in selected biostatistical topics.,BIOSTATISTICS
BIOS 990,Research in Biostatistics,Individual arrangements may be made by the advanced student to spend part or all of his or her time in supervised investigation of selected problems in statistics.,BIOSTATISTICS
BIOS 992,Master's (Non-Thesis),No information available for this course,BIOSTATISTICS
BIOS 994,Doctoral Research and Dissertation,No information available for this course,BIOSTATISTICS
BCS 401,Elementary Bosnian-Croatian-Serbian Language I,"Proficiency-based instruction at the elementary level that develops the four language skills (speaking, listening, reading, writing). In addition to mastering basic vocabulary and grammar, students will communicate in the target language about everyday topics. Previously offered as SECR 401.",BOSNIAN-CROATIAN-SERBIAN
BCS 402,Elementary Bosnian-Croatian-Serbian Language II," Continuation of the proficiency-based instruction in BCS 401. Course emphasizes speaking, listening, reading, writing in a cultural context. Students enhance their basic vocabulary and grammar and will regularly communicate in the target language about everyday topics. Previously offered as SECR 402.",BOSNIAN-CROATIAN-SERBIAN
BCS 403,Intermediate Bosnian-Croatian-Serbian Language I, Continuation of the proficiency-based instruction started in Elementary Bosnian-Croatian-Serbian. Previously offered as SECR 403.,BOSNIAN-CROATIAN-SERBIAN
BCS 404,Intermediate Bosnian-Croatian-Serbian Language II, Continuation of the proficiency-based instruction started in BCS 403. Previously offered as SECR 404.,BOSNIAN-CROATIAN-SERBIAN
BCS 405,Advanced Bosnian-Croatian-Serbian Language I, Advanced readings and discussion in Bosnian-Croatian-Serbian on humanities and social science topics. Previously offered as SECR 405.,BOSNIAN-CROATIAN-SERBIAN
BCS 406,Advanced Bosnian-Croatian-Serbian Language II, Advanced readings and discussion in Bosnian-Croatian-Serbian on humanities and social science topics. Continuation of BCS 405. Previously offered as SECR 406.,BOSNIAN-CROATIAN-SERBIAN
BCS 411,Introduction to South Slavic Literatures and Cultures,Introduction to South Slavic literatures and cultures with an emphasis on 19th- through 21st-century prose. Taught in English. Some readings in target language for qualified students. Previously offered as SECR 411.,BOSNIAN-CROATIAN-SERBIAN
BCS 490,Topics in South Slavic Cultures,"Study of topics in Bosnian, Croatian, Serbian, and other South Slavic literatures and cultures not currently covered in any other course. The specific topic will be announced in advance. Taught in English. Some readings in target language for qualified students. Previously offered as SECR 490.",BOSNIAN-CROATIAN-SERBIAN
BUSI 89,First-Year Seminar: Special Topics,Special topics course.  Content will vary each semester.,BUSINESS ADMINISTRATION
BUSI 100,"Introduction to Business: People, Profits, Planet","This course will cover five major themes: people, customers, firms, markets and society. In doing so, it will allow students to learn about the world of business, the major disciplines and how those disciplines fit together as well as how business can drive positive change in a rapidly changing world. Lastly, the course will highlight different career paths, and will introduce the skillsets and mindsets that are relevant to each.",BUSINESS ADMINISTRATION
BUSI 102,Introduction to Financial Accounting,"Provides an introduction to financial accounting reports and processes. Students learn skills to read, analyze, and understand a variety of  financial reports. The course focuses on the fundamental accounting concepts and the transactions and economic events that form the basis for construction of the balance sheet, income statement, statement of stockholders' equity, and statement of cash flow. Students may not receive credit for both BUSI 102 and BUSI 106 or BUSI 102 and BUSI 107.",BUSINESS ADMINISTRATION
BUSI 107,Management Accounting SS,"Offered in summer school only. Elements of accounting for management planning, budgeting, and control. Emphasis is on management uses of accounting information. Students may not receive credit for both BUSI 107 and 108.",BUSINESS ADMINISTRATION
BUSI 120,Exploring the Intersection of Business and Society,"This is a professional, academic, and personal development course for undergraduate Kenan Scholars in their first semester of the program. The purpose of this course is to support incoming scholars' transition by providing a roadmap to their active participation in the program, including: grounding scholars in the program's three core competencies (leadership, research, and cross-sector collaboration), connecting them to Kenan Institute resources, enhancing networking skills and opportunities, and building community among fellow scholars.",BUSINESS ADMINISTRATION
BUSI 188,Foundations of Leadership: Discovering Your Strengths,"This course introduces the concepts of strengths-based leadership development to help uncover strengths and maximize potential for overall success. Students will learn how to connect these strengths to all areas of life, including, but not limited to, their academic journey as well as their future career path. Restricted to first-year students who are offered Assured Enrollment into the Kenan-Flagler Business School.",BUSINESS ADMINISTRATION
BUSI 189,Introduction to Careers in Business,This course gives students an overview of the career options in business. This overview provides an understanding of the foundations of business and allows students to reflect on what specific business areas they might want to pursue. Restricted to first-year students who are offered Assured Enrollment into the Kenan-Flagler Business School.,BUSINESS ADMINISTRATION
BUSI 190,Business Topics,Varied topics in business administration.,BUSINESS ADMINISTRATION
BUSI 201,Business in Europe,"Expand your global business knowledge and gain project-based experience through an immersion in Europe. Coursework begins in Chapel Hill. The European portion will be highly experiential, where possible, working to connect students with local young people. Application and permission of department required. Additional fees apply.",BUSINESS ADMINISTRATION
BUSI 202,Business in East Asia,Business in East Asia,BUSINESS ADMINISTRATION
BUSI 203,Business in South East Asia,"Permission of the School required. This faculty-led immersion to South East Asia examines developed and developing parts of the region. Coursework in Chapel Hill focuses on economy, political life, and culture. In South East Asia, thru company visits you develop an understanding of the different pathways to economic growth and critically analyze why there is variation in the speed of development. Application and department permission required. Additional fees apply.",BUSINESS ADMINISTRATION
BUSI 204,Business in Latin America,Business in Latin America,BUSINESS ADMINISTRATION
BUSI 205,Business in the Middle East,Business in the Middle East,BUSINESS ADMINISTRATION
