CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
ASTR 8700,Observational Cosmology,"Observational Cosmology4 Credit Hours  Description Standard Big Bang model of the universe with emphasis on observational evidence and constraints on cosmological parameters. Expansion history, primordial nucleosynthesis, cosmic microwave background, inflation, structure formation, dark matter and dark energy.  Four lecture hours a week.",Astronomy,GSU
ASTR 8710,Research Topics in Astronomy,Research Topics in Astronomy1 to 15 Credit Hours  Description Topics related to area of current research to be chosen by the instructor.     May be taken more than once for credit if topics are different.,Astronomy,GSU
ASTR 8800,Optics in Astronomy,"Optics in Astronomy3 Credit Hours Prerequisites: consent of the instructor. Description Optical design and Fourier optics with emphasis on astronomical applications: first and third order ray theory results (foci, pupils, stops, and Seidel aberrations); experience with ZEMAX code on a variety of examples will be emphasized; linear systems and Fourier transforms; scalar diffraction theory; and astronomical applications. A class project will be assigned.  Three lecture hours a week.",Astronomy,GSU
ASTR 8850,Planetary Science,"Planetary Science3 Credit Hours Prerequisites: Astr 6000 or equivalent. Description Introduction to the field of planetary science; formation of the solar system, terrestrial, and Jovian planets; detailed discussion of Mars, Jupiter, Europa and Titan; discovery and characterization of extrasolar planets and brown dwarfs; overview of detection methods and analysis of recent discoveries of other solar systems.  Three lecture hours a week.",Astronomy,GSU
ASTR 8900,Seminar in Astronomy,Seminar in Astronomy1 to 3 Credit Hours Prerequisites: departmental consent. Description Discussion of current research in astronomy.     May be repeated for no more than three total credit hours.,Astronomy,GSU
ASTR 8910,Directed Study in Astronomy,"Directed Study in Astronomy1 to 6 Credit Hours  Description Area of study and credit to be determined by the department. May include attendance and participation in seminars, colloquia, or other departmental scientific activities.",Astronomy,GSU
ASTR 9999,Doctoral Dissertation Research,Doctoral Dissertation Research1 to 15 Credit Hours  Description,Astronomy,GSU
BIOL 6000,Life Science Professional Skills,"Life Science Professional Skills1 Credit Hours  Description This course focuses on career development, scientific thought, academic and professional development to help students build an individual development plan, prepare for future programs or employment, and successfully complete the biology master’s program.",Biology,GSU
BIOL 6010,Mathematical Biology,"Mathematical Biology3 Credit Hours Prerequisites: Math 2212 or Math 1220. Description(Same as MATH 6010 .) This course provides an introduction to the use of continuous and discrete differential equations in the biological sciences. Biological topics will include single species and interacting population dynamics, modeling infectious and dynamic diseases, regulation of cell function, molecular interactions and receptor-ligand binding, biological oscillators, and an introduction to biological pattern formation. There will also be discussions of current topics of interest such as Tumor Growth and Angiogenesis, HIV and AIDS, and Control of the Mitotic Clock. Mathematical tools such as phase portraits, bifurcation diagrams, perturbation theory, and parameter estimation techniques that are necessary to analyze and interpret biological models will also be covered.",Biology,GSU
BIOL 6011,Principles of Paleontology,"Principles of Paleontology4 Credit Hours Prerequisites: Geol 1122K, or consent of instructor. Description(Same as Geol 6011.) An introduction to the principles of paleontology including taphonomy, taxonomy, evolution, and extinction by examination of the fossil record. Study of commonly preserved organisms and their use in paleoecology, paleoenvironmental reconstruction, biostratigraphic correlation, and conservation paleobiology will be stressed as well.  Three lecture and three laboratory hours a week.",Biology,GSU
BIOL 6014K,Invertebrate Biology,"Invertebrate Biology4 Credit Hours Prerequisites: Biol 3840 and Biol 3850, or equivalent course work. Description Structure, function, distribution, and taxonomic relationship of invertebrate animals.  Three lecture and three laboratory hours a week.",Biology,GSU
BIOL 6015,Vertebrate Biology,"Vertebrate Biology4 Credit Hours Prerequisites: Biol 3840 and Biol 3850, or equivalent course work. Description Diversity, taxonomy, structure, function, distribution, and ecology of living and extinct vertebrates.  Three lecture and three laboratory hours a week.",Biology,GSU
BIOL 6040,Neuroethology,"Neuroethology4 Credit Hours Prerequisites: NEUR 3000 or BIOL 4102, or equivalent, with a grade of C or higher. Description(Same as NEUR 6040 ). The neural basis of behavior from an ethological perspective. The course will cover discoveries, techniques, and concepts underlying neuroethological research. Developmental, evolutionary, and comparative approaches are emphasized.  Four lecture hours per week.",Biology,GSU
BIOL 6045K,General Ecology,"General Ecology4 Credit Hours Prerequisites: Either BIOL 3820, BIOL 3840, BIOL 4050K, BIOL 6050K, BIOL 7820 , BIOL 7840 , or equivalent with a C or higher; or permission of instructor.    Includes a $50.00 lab fee.Description Principles governing distribution and abundance of organisms and their interaction.  Three lecture and three laboratory hours a week.",Biology,GSU
BIOL 6050,The Natural Environment of Georgia,"The Natural Environment of Georgia4 Credit Hours Prerequisites: Biol 1104K or Biol 2108K with grade of C or higher, and Geog 1113 or equivalent, or consent of instructor. Description(Same as Geog 6050.) Georgia is a state with great a diversity of natural communities, in large part because of the many different landscapes present in the state. Through readings, discussions, tests, field outings, projects and in-class exercises, students will become familiar with the principles involved in the structure and function of Georgia's dwindling, but diverse, ecosystems. There will be an emphasis on plant communities and the physical environment, but animal communities and landscape management strategies will also be covered. Locations, diversity, and plant indicator species (especially trees) will be examined in the classroom and in the field, and experiential learning is emphasized.  Three lecture hours a week with a one day weekend lab every other weekend.",Biology,GSU
BIOL 6055K,Experimental Methods in Field Ecology,"Experimental Methods in Field Ecology4 Credit Hours Prerequisites: Either BIOL 1104K (or BIOL 1104 and BIOL 1104L), BIOL 2108K (or BIOL 2108 and BIOL 2108L), GEOG 1112K (or GEOG 1112 and GEOG 1112L), or GEOG 1113K (or GEOG 1113 and GEOG 1113L); and approval of instructor.    Includes a lab fee.Description Students will learn basic field and lab techniques to assess environmental variables (i.e., vegetation analysis, stream health, soil quality and macroinvertebrates, and social impact. They will collect and analyze data, design projects, and present results at the end of the course.  Three week intensive field methods course (5 hours/day, 5 days/week, with possible evening or weekend training).",Biology,GSU
BIOL 6070,Sensory Neuroscience,"Sensory Neuroscience3 Credit Hours  Description The course will cover the neural basis of sensation and perception, from neural coding in the sense organs to central representation leading to perception. The neurobiology of vision, audition, somatosensation (touch and pain), and chemosensation (taste and smell) will be covered.",Biology,GSU
BIOL 6074,Developmental Biology,"Developmental Biology4 Credit Hours Prerequisites: Biol 3800, BIOL 7800 , or equivalent with a C or higher. Description An introduction to developmental biology emphasizing cellular, genetic, and molecular aspects and mechanisms of animal development.  Four lecture hours a week.",Biology,GSU
BIOL 6076,Evolutionary Developmental Biology,"Evolutionary Developmental Biology4 Credit Hours Prerequisites: Either BIOL 3440, BIOL 3800, BIOL 4074, BIOL 6074 , BIOL 6440 , BIOL 7800 , or equivalent with a C or higher; or permission of instructor. Description This course will investigate the synthesis of developmental biology and evolutionary thought. Topics include how the development of insects and vertebrates have evolved over time, how evo-devo can generate and maintain organismal diversity, and how evo-devo provides insight into human evolution.  Four lecture hours a week.",Biology,GSU
BIOL 6080,Clinical Neuroscience,"Clinical Neuroscience4 Credit Hours  Description This course will examine the neurobiological basis of mental disorders such as depression and schizophrenia as well as the neurodegenerative conditions of Parkinson’s and Alzheimer’s Diseases. Additional topics include psychoneuroimmunology, stress and coping, the role of genetics and epigenetics in neurological and neuropsychiatric disorders, and the role of gut microbes in health and disease.",Biology,GSU
BIOL 6094,Developmental Neurobiology,Developmental Neurobiology4 Credit Hours Prerequisites: Biol 3800 or equivalent. Description(Same as NEUR 6100 .) Introduction to the development of the nervous system. Covers the field of developmental neurobiology from neural induction to the modification of neuronal connections in the adult nervous system and uses a variety of model organisms to demonstrate the rules by which nervous systems develop.  Four lecture hours per week.,Biology,GSU
BIOL 6100,Cellular and Molecular Neuroscience,"Cellular and Molecular Neuroscience4 Credit Hours  Description Advanced exploration of cellular and molecular function in neurons and glia. Topics include excitable membranes and cells, ion channels and receptors, synaptic transmission and plasticity, neural development, and molecular bases of neurological diseases.",Biology,GSU
BIOL 6102,Neurobiology,"Neurobiology4 Credit Hours Prerequisites: Biol 3800 and Biol 3840, or equivalents. Description(Same as NEUR 6010 .) Comprehensive basis for understanding brain research, major discoveries in neuroscience, and the methods employed for those achievements. Topics include the neural basis of learning and memory, sensory perception, motor control, neurological diseases, drug action, and behavior.",Biology,GSU
BIOL 6104,Zoo Biology,"Zoo Biology4 Credit Hours Prerequisites: Biol 3840 or equivalent. Description Historical background as well as current issues and developments in zoos. Topics include conservation, SSPs (Species Survival Plans), behavioral enrichment, studbook management, and planning/economics of major exhibits. Course instruction will be on-site at Zoo Atlanta. Students will work directly with animal curators and keepers.  Four lecture hours a week.",Biology,GSU
BIOL 6115,Medical Neuroanatomy,Medical Neuroanatomy4 Credit Hours Prerequisites: Biol 3840 or equivalent. Description Human brain and spinal cord functional neuroanatomy and associated pathologies. Master’s students only.  Four lecture hours per week.,Biology,GSU
BIOL 6200,Neuroscience of Memory,"Neuroscience of Memory3 Credit Hours  Description An examination of how the nervous system generates motivation and emotional states in diverse species, including humans. Topics include neural mechanisms of thirst and hunger, defense and fear, and social behavior, as well as disorders of emotion and motivation.",Biology,GSU
BIOL 6210,Neuroscience of Motivation and Emotion,"Neuroscience of Motivation and Emotion3 Credit Hours  Description An examination of how the nervous system generates motivation and emotional states in diverse species, including humans. Topics include neural mechanisms of thirst and hunger, defense and fear, and social behavior, as well as disorders of emotion and motivation.",Biology,GSU
BIOL 6232,Cell Cycle and Cancer,"Cell Cycle and Cancer4 Credit Hours Prerequisites: Biol 3800 with a C or better. Description This course discusses the cell cycle, and how misregulation of this well-orchestrated process results in cancer. Current research in cell cycle and cancer biology will be utilized to stimulate critical thinking and communication about the complex biological processes that go awry in cancer and form the basis for intervention with chemotherapeutic drugs.  Four lecture hours a week.",Biology,GSU
BIOL 6240,Endocrinology,"Endocrinology4 Credit Hours Prerequisites: CHEM 6600  or equivalent. Description(Same as NEUR 6200 .) Basic biochemistry and physiology of the endocrine system, including synthesis and secretion of steroid and protein hormones, mechanisms of hormone action, and endocrinology of reproduction.  Four lecture hours a week.",Biology,GSU
BIOL 6241,Hormones and Behavior,"Hormones and Behavior4 Credit Hours Prerequisites: Biol 3840 or equivalent. Description(Same as NEUR 6420  and Psyc 6630.) Interaction of nervous and endocrine systems in the control of animal behavior, including humans, with emphasis on the mechanisms that adapt behavior to the changing physical and social environments.  Four lecture hours per week.",Biology,GSU
BIOL 6246,Advanced Human Physiology,"Advanced Human Physiology4 Credit Hours Prerequisites: Biol 2240 or Biol 3240, and Biol 3800 with grades of C or higher, or equivalents. Description The circulatory, respiratory, gastrointestinal, and renal physiological systems will be emphasized.",Biology,GSU
BIOL 6248,Cell Physiology,"Cell Physiology4 Credit Hours Prerequisites: Biol 3840, Biol 3880, Biol 3900, and Chem 3410, or equivalents.   Chem 4600 is recommended. Description Mechanism of cell and organ function at the molecular level.  Three lecture and three laboratory hours a week.",Biology,GSU
BIOL 6278,Immunology,"Immunology4 Credit Hours Prerequisites: Biol 3880 and Biol 3900, or equivalent. Description Comprehensive overview of the immune system and its functions within the context of cell to cell interaction and communication.  Four lecture hours a week.",Biology,GSU
BIOL 6282,Tumor Immunology,"Tumor Immunology4 Credit Hours Prerequisites: Biol 3880 and Biol 3900 with grades of C or higher, or equivalent course work. Description This course discusses the molecular basis of tumorigenesis and the interactions between the immune system and tumors/cancer cells. Research in tumor immunology is based on the premise that tumor cells express antigenic determinants that are not found on normal cells and furthermore, that these antigens can elicit an anti-tumor immune response. Topics covered include: basic tumorigenesis of common solid tumors, basic immunology, tumor antigen expression, types of immune responses to tumors, mechanisms by which tumors escape/suppress the immune response and novel approaches for immunotherapy of advanced cancers. This course will involve critical thinking and communication about the complex biological systems of cancer and the immune system.  Four lecture hours a week.",Biology,GSU
BIOL 6284,Medical Biochemistry in Health and Disease,"Medical Biochemistry in Health and Disease4 Credit Hours Prerequisites: CHEM 6600  with a B or better. DescriptionCrosslisted with Biol 4284. Overview of principles of biochemistry and metabolism at both the cellular and whole body level under normal physiological conditions in maintaining physical and mental health and in various disease states. These include exercising, starvation, trauma, infection, pregnancy, aging-related mental illness, obesity, diabetes, cardiovascular diseases and cance.  Four lecture hours a week.",Biology,GSU
BIOL 6292,Leadership in Biology,"Leadership in Biology2 Credit Hours Prerequisites: BIOL 2108 and BIOL 2108L (or BIOL 2108K) with a C or higher, or permission of the instructor. Description This course promotes development of leadership skills in the context of science careers, with a focus on biology. Includes interactive lectures, presentations by guest speakers followed by student-led debriefings, mentoring experiences, field trip/site visits, and class projects aiming to drive public engagement and outreach.",Biology,GSU
BIOL 6340,Neurophysics,"Neurophysics3 Credit Hours  Description Course provides fundamental findings of physics of neuronal systems. The course covers such topics as introduction to biomechanics, membranes, transport, electroosmotic effects, ion pumping, cellular homeostasis, the Hodgkin-Huxley formalism, energetics of spiking, neural coding, and dynamics of neurons and neuronal networks. It also covers methods of recording of neuronal activity.",Biology,GSU
BIOL 6428,Medical Microbiology,"Medical Microbiology4 Credit Hours Prerequisites: Biol 3880 or equivalent course work. Description An overview of significant human and animal pathogens, including aspects of bacterial, viral, protozoan, and helminthic infections and pathogenesis. Pathogen characteristics and features, epidemiology, immunity, and treatment.  Four lecture hours a week.",Biology,GSU
BIOL 6438,Applied Microbiology,"Applied Microbiology4 Credit Hours Prerequisites: Biol 3880 and Chem 2400, or equivalent course work. Description Microbiology of industrial processes, including quality control, fermentations, biotransformations, strain selection and maintenance.  Four lecture hours a week.",Biology,GSU
BIOL 6440,Practica In Biotechnology,Practica In Biotechnology5 Credit Hours Prerequisites: consent of instructor and biotechnology committe. Description A series of intensive laboratory exercises designed to provide working knowledge and experience in selected areas current interest/ importance in biotechnology.Hands-on experience will be integrated with theory and current best practices.   Ten laboratory hours a week.,Biology,GSU
BIOL 6451,Aquatic Pollution and Toxicology,"Aquatic Pollution and Toxicology4 Credit Hours Prerequisites: Biol 2108K, Chem 1212K.   Chem 2400 recommended. Description Comprehensive introduction to water pollution (including relevant methods and techniques) and its relationship to public health.  Four lecture hours per week.",Biology,GSU
BIOL 6458,Microbial Ecology and Metabolism,"Microbial Ecology and Metabolism4 Credit Hours Prerequisites: Biol 3880 and Chem 2400, or equivalent course work. Description Application of ecological principles to the microbial world. Topics include biogeochemical cycling, biogradation, bacterial communication and the ecology of disease.  Four lecture hours a week.",Biology,GSU
BIOL 6460,Parasitology,"Parasitology4 Credit Hours  Description A survey of the important parasites of humans and domestic animals. Emphasis will be placed on medically important parasitic protozoa, helminthes, and arthropods; clinical effects of infection, epidemiology, methods for detection and identification as well as global impact of parasitic diseases in today’s world.",Biology,GSU
BIOL 6480,Principles of Toxicology,"Principles of Toxicology4 Credit Hours Prerequisites: Biol 2108K or equivalent.   Chem 4600 is recommended. Description Studies of the absorption, distribution and excretion of toxicants; their detoxication, and bioactivation; their adverse effects.  Four lecture hours a week.",Biology,GSU
BIOL 6484,Laboratory Techniques in Applied and Environmental Microbiology,"Laboratory Techniques in Applied and Environmental Microbiology4 Credit Hours Prerequisites: Biol 3880, 3890, or equivalent; Biol 4438 and 4458.    Includes a $50.00 lab fee.Description Techniques and procedures for isolation, characterization and identification of microorganisms of practical significance; model ecosystems and biofilms; sampling and enumeration of microorganisms; metabolism; and analysis of microbial growth.  One lecture and six laboratory hours a week.",Biology,GSU
BIOL 6500,Human Genetics,"Human Genetics4 Credit Hours Prerequisites: Biol 3900 or equivalent. Description Principles of human heredity, with emphasis on the molecular basis of heredity, detection and treatment of genetic diseases, and genetic counseling.  Four lecture hours a week.",Biology,GSU
BIOL 6545,Bioethics and Biotechnology,"Bioethics and Biotechnology4 Credit Hours Prerequisites: Biol 3900 with a C or higher, or equivalent. Description Ethical issues raised by recent advances in biotechnology, genomics, and other areas of molecular genetics and cell biology. Specific topics include: eugenics; molecular, cellular and organismal cloning; personalized medicine; stem cell research; the genetics of behavior; and the role of epigenetics in the nature vs. nurture debate.  Four lecture hours a week.",Biology,GSU
BIOL 6564,Advanced Genetics,"Advanced Genetics4 Credit Hours Prerequisites: Biol 3900 or equivalent. Description Advanced topics and techniques in prokaryotic and eukaryotic genetic systems, including gene mapping, molecular techniques, regulation of gene expression, genomics, and population genetics.  Four lecture hours a week.",Biology,GSU
BIOL 6565,General Oncology,"General Oncology4 Credit Hours Prerequisites: Biol 3900. Description Etiology, pathology, mechanisms of metastasis and treatment of cancer. Students will also analyze current primary literature in the field.  Four lecture hours a week.",Biology,GSU
BIOL 6575,Virology,"Virology4 Credit Hours Prerequisites: Biol 3880 and Biol 3900, or equivalent course work. Description Introduction to viruses. Topics covered include structure and replication of viruses; virus isolation and classification; and pathogenesis and epidemiology of virus disease.  Four lecture hours a week.",Biology,GSU
BIOL 6576,Neurovirology,"Neurovirology4 Credit Hours  Description Following an introduction to basic neuroanatomy and neuroimmunology, individual lectures will focus on the diagnosis, treatment, and pathogenesis of several neurologic diseases of virus origin. These include encephalitis, meningitis, chronic inflammatory and demyelinating diseases, HIV/AIDS-associated dementia, peripheral neuropathies, retinitis, and transmissible spongiform encephalopathies caused by prions. The concept of virus latency within the nervous system will be emphasized, as will the possible contributions of viruses or prions toward the onset of Alzheimer’s disease.",Biology,GSU
BIOL 6580,Microbial Pathogenesis,"Microbial Pathogenesis4 Credit Hours Prerequisites: Biol 3880 and Biol 3900, or equivalent course work. Description This course integrates material from pathogenic microbiology, molecular biology and immunology into an overview of bacterium-host interactions including bacterial attributes, virulence factors and several paradigms of bacterial-host interactions focusing on molecular and genetic approaches.  Four lecture hours a week.",Biology,GSU
BIOL 6630,Enzymology,Enzymology3 Credit Hours Prerequisites: One year of organic chemistry (Chem 2410) and one semester of biochemistry (CHEM 6600 ). Description(Same as CHEM 6630 .). Introduction to enzyme catalysis with emphasis on the general concepts of enzyme kinetics and the common tools for studying enzymes.,Biology,GSU
BIOL 6640,Fundamentals of Bioinformatics,"Fundamentals of Bioinformatics4 Credit Hours Prerequisites: Biol 3800 or written approval of instructor. Description(Same as CHEM 6640 , CSC 6640 , and NEUR 6320 .) A “hands-on” approach to bioinformatics using PCs, the internet, and computer graphics to analyze, correlate, and extract information from biological databases, emphasizing sequence and structure databases for proteins and nucleic acids, and introducing the computing skills necessary for bioinformatics. Topics include: sequences and three-dimensional structures of proteins and nucleic acids, the major databases, algorithms for sequence comparison, data mining, and prediction of structure and function.  Four lecture hours per week.",Biology,GSU
BIOL 6648,Biogeography,"Biogeography4 Credit Hours Prerequisites: Geog 1112, Biol 1104K, or Biol 2108K with grade of B or higher, or consent of instructor. Description(Same as Geog 6648.) Spatial variations, processes, and environmental constraints influencing distribution of life.",Biology,GSU
BIOL 6670,Principles and Techniques of Practical Biochemistry,"Principles and Techniques of Practical Biochemistry3 Credit Hours Prerequisites: One semester of biochemistry (Chem 4600/CHEM 6600 ) with grade of B or higher, or equivalents. Description(Same as Chem 4670). A comprehensive and integrated review of principles and modern techniques found in day-to-day biochemical research laboratories. Topics include, but are not limited to: general principles of biochemical investigations, molecular biology and basic techniques, molecular cloning and gene analysis, protein structure, purification and characterization, biomolecular interactions, basic enzyme analysis, spectroscopic techniques, mass spectrometric techniques, centrifugation, electrophoretic, chromatographic, radioisotope and electrochemical techniques.",Biology,GSU
BIOL 6680,Microscopy and Imaging,"Microscopy and Imaging4 Credit Hours Prerequisites: Biol 3800 and Phys 1112K or Phys 2212K, or equivalents. Description An introduction to the theory of microscopy and various types of microscopes and their applications to biological research. Topics include: microscopes, basic specimen preparation, and staining techniques.  Four lecture hours per week.",Biology,GSU
BIOL 6685,Functional Histology,"Functional Histology4 Credit Hours Prerequisites: Biol 3800 and Biol 3240 or equivalent.    Includes a $75.00 lab fee.Description Topics include preparation and basic staining of tissues, special stains, identification of tissue features and classification. The course will correlate tissue form and function by incorporating concepts of cell, tissue, and organ physiology.",Biology,GSU
BIOL 6686,Pathophysiology,"Pathophysiology4 Credit Hours Prerequisites: Biol 3800 and Biol 3240, or consent of instructor. Description Clinical case studies will be used to teach the principles and processes behind adult and childhood diseases. Students will learn basic diagnostic skills in hematology and blood chemistry, histopathology, ECG, spirometry, radiology, and urology.",Biology,GSU
BIOL 6687,Surgical Anatomy,Surgical Anatomy4 Credit Hours Prerequisites: Biol 4687 or consent of instructor.    Includes a $275.00 lab fee.DescriptionCross-listed with Biol 4687. Detailed examination of human anatomy via dissections and radiology.,Biology,GSU
BIOL 6690,Special Topics in Biochemistry,Special Topics in Biochemistry3 Credit Hours  Description Advanced topics in biochemistry as may fit the needs and interests of the students and faculty.     May be repeated if topics are different.,Biology,GSU
BIOL 6694,Biosafety: Principles and Practice,"Biosafety: Principles and Practice4 Credit Hours Prerequisites: Biol 3800 or consent of instructor. Description The discussion of pathogenic agents and their associated occupational and public health risks. Topics include emerging biosafety issues such as bioterrorism, human gene therapy, and federal and state regulations guiding use of pathogenic organisms.  Four lecture hours per week.",Biology,GSU
BIOL 6696,Laboratory in Molecular Biological Techniques,"Laboratory in Molecular Biological Techniques4 Credit Hours Prerequisites: Biol 3900 or equivalent.   Chem 4600 recommended. Includes a $50.00 lab fee.Description Isolation and characterization of nucleic acids and proteins. Topics include molecular cloning, isolation, characterization and sequence analysis of chromosomal and plasmid DNA, PCR mediated gene amplication and protein purification.  One lecture and six laboratory hours a week.",Biology,GSU
BIOL 6744,Biostatistics,"Biostatistics3 Credit Hours Prerequisites: Math 2211 and Biol 2108K, or equivalents. Description(Same as MATH 6544 .) Principles and methods of statistics as applied to biology and medicine.  Three lecture hours a week.",Biology,GSU
BIOL 6800,Principles of Cellular Biology,"Principles of Cellular Biology4 Credit Hours Prerequisites: Biol 3800, Biol 3900, and Chem 1211K, or consent of instructor. Description Survey of cellular components and processes in different cell types as they relate to the function of the cell. Includes signal transduction, photoreceptors, neurons, muscle, blood cells, cells of the immune system, and cell biology of infection.  Four lecture hours a week.",Biology,GSU
BIOL 6801,Survival Skills in Academia,"Survival Skills in Academia3 Credit Hours  Description(Same as Neur 6600 and Psyc 6801) Guidance and direction for graduate students on how to accomplish many of the day-to-day tasks encountered by researchers and instructors throughout their careers in academia. Topics covered include how to write and publish scientific papers, grantspersonship, scientific ethics, posters and oral presentations, mentoring, and job interviewing.",Biology,GSU
BIOL 6900,Directed Laboratory Study,"Directed Laboratory Study2 Credit Hours Corequisites: BIOL 8800 , BIOL 8999 , BIOL 9999 , or equivalent. Description Student learning of scientific communication skills, experimental strategies and procedures through laboratory group meetings and individual discussion with faculty laboratory director.  One lecture hour and one discussion hour per week.",Biology,GSU
BIOL 6905,Theme-Based Biology Laboratory,"Theme-Based Biology Laboratory2 to 4 Credit Hours Prerequisites: Permission of instructor.    Includes a $50.00 per hour lab fee.Description Students will work in small groups to develop specific biological hypotheses, design and carry out experiments to test these hypotheses, and analyze the results they obtain.     May be repeated for credit if topic is different.",Biology,GSU
BIOL 6913,Georgia Aquarium Internship I,"Georgia Aquarium Internship I2 Credit Hours Prerequisites: Biol 3020 with grade of B or higher, or equivalent, or consent of instructor.    Includes a $50.00 lab fee.Description Students will participate in the education programs at the Georgia Aquarium one morning a week for about three hours, depending on Aquarium requirements, and under the supervision of Aquarium staff. The primary goal is to train interns to be able to deliver education programs at the Georgia Aquarium.",Biology,GSU
BIOL 6914,Georgia Aquarium Internship II,"Georgia Aquarium Internship II2 Credit Hours Prerequisites: Biol 4913 or BIOL 6913  with grade of S and consent of instructor. Description This is the second part of the Georgia Aquarium internship program. Students will participate in the education programs at the Georgia Aquarium one morning a week for about three hours, depending on Aquarium requirements, and under the supervision of Aquarium staff. The interns will deliver education programs to visiting student groups and train interns in first part of the Intern program (Biol 4913 or BIOL 6913 ).",Biology,GSU
BIOL 6915,Collaborative Internships in Biology,Collaborative Internships in Biology2 Credit Hours Prerequisites: consent of instructor. Description Students engage in off-campus internship training arranged through collaboration with biology faculty members.     May be taken for credit a maximum of two times.,Biology,GSU
BIOL 6916,Internships in Biology,Internships in Biology2 Credit Hours Prerequisites: consent of instructor. Description Students receive hands-on experience in activities that require knowledge and skills related to the field of biology. Specific topics available each semester will vary.     May be taken for credit a maximum of two times.,Biology,GSU
BIOL 6930,Topics in Biology,Topics in Biology3 to 4 Credit Hours Prerequisites: consent of the instructor. Description Detailed examination of a selected area in biological science.  Four lecture hours a week.   May be repeated for credit if topics are different.,Biology,GSU
BIOL 6940,Pedagogical Practices in Undergraduate STEM Instruction,"Pedagogical Practices in Undergraduate STEM Instruction2 Credit Hours  Description This course is for graduate students serving as lecture or lab teaching assistants in Science, Technology, Engineering, and Mathematics (STEM) as well as for those who are interested in science teaching-focused careers, particularly at the undergraduate level. Topics include syllabus design, effective usage of instructional technology in teaching, student motivation and engagement, metacognition, active learning strategies, fostering collaboration in the classroom, and mentorship.",Biology,GSU
BIOL 6960,Biology Careers Seminar,"Biology Careers Seminar1 Credit Hours Prerequisites: Either Biol 3800, BIOL 7800 , or equivalent with a C or higher. Description Speakers from different biology-related fields will discuss their jobs from the perspective of helping Biology majors with their career planning. Topics will include graduate training at GSU, health and teaching-related careers, other biology-related careers, and job search strategies.     May be repeated for credit a maximum of one time.",Biology,GSU
BIOL 6970,Biology Seminar,Biology Seminar1 Credit Hours  Description Current research topics in biology. May not be taken for more than one hour in the same term.     This course may be repeated for credit a maximum of one time.,Biology,GSU
BIOL 6990,Independent Readings,Independent Readings2 Credit Hours Prerequisites: consent of instructor. Description Students will read and review primary literature in the field of biology. Students will discuss the readings with the instructor and/or write papers. Topics may vary.     Course may be repeated for credit a maximum of two times.,Biology,GSU
BIOL 6996,Non-Thesis Capstone Literature Review,Non-Thesis Capstone Literature Review4 Credit Hours Prerequisites: Permission of the department. Description Capstone experience in writing a critical literature review of a relevant topic in biology under the mentorship of a member of the biology faculty.,Biology,GSU
BIOL 6997,Non-Thesis Capstone Internship,Non-Thesis Capstone Internship4 Credit Hours Prerequisites: Permission of the MS program director. Description Non-Thesis capstone option. An internship with a partner institution or office that is approved by the MS program director.,Biology,GSU
BIOL 6998,Non-Thesis Capstone Project,"Non-Thesis Capstone Project4 Credit Hours Prerequisites: Permission of the department based on approved project plan. Description Non-Thesis option capstone. Under the mentorship of a member of the Biology faculty, the student completes a project related to biological sciences.",Biology,GSU
BIOL 7020,Introduction to Marine Biology,"Introduction to Marine Biology3 Credit Hours Prerequisites: Biol 1104K, Biol 1108K, or Biol 2108K with grade of B or higher, or equivalent. Description A comprehensive overview of the marine environment, including the characteristics of marine organisms and their distinctive communities, such as coral reefs, kelp forests, seagrass beds, and the deep ocean.",Biology,GSU
BIOL 7021,Infectious Disease and Society,"Infectious Disease and Society3 Credit Hours  Description A consideration of the role played by infectious diseases in shaping civilization and society. The focus will be on HIV/AIDS, but sexually transmitted infections such as syphilis, gonorrhea, genital herpes, and genital warts will be discussed as well. HIV/AIDS will also be compared with other infectious diseases of historical importance including the Black Death, leprosy, smallpox, tuberculosis, influenza, and poliomyelitis.",Biology,GSU
BIOL 7240,Applied Medical Physiology,"Applied Medical Physiology3 Credit Hours Prerequisites: Biol 2108K and Chem 1212K with grades of C or higher. Description Integrative physiology of all major organ systems will be taught using clinical case studies. Topics include radiology, angiograms, hematology, blood chemistry, urinalysis, ECG, and spirometry.  Three lecture hours per week plus recitation.",Biology,GSU
BIOL 7250,Human Physiology Laboratory,Human Physiology Laboratory1 Credit Hours Prerequisites: BIOL 7240  or concurrently.    Includes a $50.00 lab fee.Description Exercises dealing with the physiology of the major organ systems.   Three laboratory hours a week.,Biology,GSU
BIOL 7430,Biotechnology,"Biotechnology3 Credit Hours Prerequisites: Biol 2108K and Chem 1212K with grades of C or higher. Description Fundamentals principles of biotechnology. Topics include genetic engineering of bacteria, plants and animals; molecular and cellular cloning; the human genome project; forensics and DNA typing; cloning of organisms; and gene therapy. Bioethical implications are also considered. This course is recommended for pre-service and in-service teachers.  Three lecture hours a week.",Biology,GSU
BIOL 7440,Fundamentals of Evolution,"Fundamentals of Evolution3 Credit Hours Prerequisites: Biol 2108K with grade of C or higher. Description Mechanisms of evolution, from the molecular to the population level. Topics include population genetics, adaptation, natural selection, speciation, systematics, coevolution, history of life, the geological record, and evolution of humans. This course is also recommended for middle and high school biology teachers.  Three lecture hours a week.   (Repeatable).",Biology,GSU
