CourseNumber,CourseTitle,CourseDescription,CourseDepartment
CMIS 3140 , Interface Design for Games," Interface Design for Games3 Credit Hours  Description The course covers the theory and practice of user interface (UI) and user experience (UX) design for games. Topics include game UI/UX design principles, player psychology, emotional design, diegetic UI, non-diegetic UI, spatial UI, meta UI, game UI development tools, playtesting, and game analytics.          ",Counseling & Psychological Services
CMIS 3150 , Game Development I," Game Development I4 Credit Hours Prerequisites: MATH 2211  or higher, and CMIS 1302  or CSC 1302 , each with a C or higher. Description Introduction to 3D computer graphics programming. Students will learn how to develop 3D games and interactive computer graphics applications (such as virtual reality) using game engines. The topics include rendering, lighting, camera, sound, character control, animation, and physics.          ",Counseling & Psychological Services
CMIS 4000 , New Ventures in Creative Media," New Ventures in Creative Media3 Credit Hours  Description Introduction to methods in creative problem solving, innovation, and human-centered design thinking. Ideation models will be applied to conceptualize creative media technologies, business models, and content as potential business ventures. Identification of the needs and desires of audiences and customers will be obtained by observation and interview techniques. Through collaborative and individual projects, students will create multiple concept documents that will be used to test the opportunities and needs they have identified.          ",Counseling & Psychological Services
CMIS 4005 , Media Entrepreneurship Proseminar," Media Entrepreneurship Proseminar1 to 2 Credit Hours  Description Weekly in-depth survey of a relevant topic in media entrepreneurship, industry or innovation and the diversity of perspectives relating to that topic. Students interact with regional media industry experts.       The course is repeatable twice (and can twice credit to BIS Media Entrepreneurship degree requirements) since the focus of each section entirely varies.   ",Counseling & Psychological Services
CMIS 4010 , Media Business Development," Media Business Development3 Credit Hours  Description Students will develop a media entrepreneurship concept into an actualized prototype or alpha product. They will work with visualizing techniques, peer critique, and prototyping methods to transform ideas into working models to be tested, transformed, and iteratively designed. Students will pitch ideas, respond to critiques, find partners, while developing an understanding of potential customer segments, resources, partners, and revenues.          ",Counseling & Psychological Services
CMIS 4030 , Managing the Creative Enterprise," Managing the Creative Enterprise3 Credit Hours  Description Planning, organizing, coordinating, controlling, and marketing media entities. This course is designed to track and assess current business trends and strategies in light of digital applications for the production and distribution of media.          ",Counseling & Psychological Services
CMIS 4050 , Producing for Television," Producing for Television3 Credit Hours  Description Provides detailed analysis of the creative, technical, and financial aspects of making and delivering a project for television. Includes finding buyers and financiers; overseeing scripting, casting, crew hiring, and location selection and management; and distribution.          ",Counseling & Psychological Services
CMIS 4055 , Advanced Producing Television / Greenlight," Advanced Producing Television / Greenlight3 Credit Hours Prerequisites: Permission of instructor. Description Workshop course that prepares students to develop proposals for scripted or unscripted television programs, including a written script. Students will work individually or in groups to develop a marketing strategy outline tailored to a specific outlet.          ",Counseling & Psychological Services
CMIS 4060 , Designing Immersive Media Experiences," Designing Immersive Media Experiences4 Credit Hours  Description Students will explore how new immersive technologies (e.g., virtual and augmented reality) are shaping industries and changing how stories are told. The class will create a cinematic standalone VR film with the professor giving a hands-on learning experience, guiding students in the production process, workflow, and software skillsets needed to create immersive stories.          ",Counseling & Psychological Services
CMIS 4070 , Media Analytics," Media Analytics3 Credit Hours Prerequisites: CMIS 1301  or equivalent with a C or higher. Description An introduction to social media data analytics. Students will learn how to collect and analyze data from social media platforms (e.g., Twitter, YouTube, Facebook, and Instagram) with tools such as Python or R.          ",Counseling & Psychological Services
CMIS 4080 , Cross-Media Design," Cross-Media Design3 Credit Hours  Description Students will explore the wide variety of creative outputs in designing for media. Students will be provided with initial creative briefs, with the professor interacting in both a client and creative director role. The class will learn the fundamentals of creating in a wide range of mediums and role-play in different designer professions, including Print, Motion, Interactive, and Experiential.          ",Counseling & Psychological Services
CMIS 4090 , Leading a Non-profit Arts Organization, Leading a Non-profit Arts Organization3 Credit Hours  Description Explores a broad range of topics to build competencies related to the successful leadership of a non-profit arts organization.          ,Counseling & Psychological Services
CMIS 4100 , Game Design I," Game Design I4 Credit Hours  Description Introduces major aspects of game design such as challenges, gameplay, actions, core mechanics, worlds, characters, game balancing, user interfaces, game genres, engine prototyping, production pipeline, design documents and playtesting.          ",Counseling & Psychological Services
CMIS 4110 , Game Design II," Game Design II4 Credit Hours Prerequisites: CMIS 1301  and CMIS 4100 , each with a C or higher. Description This seminar covers advanced game design topics such as emotions in games, level design, and mobile game design. Students will improve on, expand, and complete the game design project they started in CMIS 4100 . Students will connect to limited coding as they develop more advanced projects.          ",Counseling & Psychological Services
CMIS 4115 , Artificial Intelligence for Games," Artificial Intelligence for Games3 Credit Hours Prerequisites: CMIS 4100  and CMIS 4120 , each with a C or higher. Description Course explores programming techniques and theories in the development of decision-making agents in games. NPC and environmental behavior, pathfinding, search, procedural generation, player modeling, machine learning, and emotion processing are among the possible topic discussed and implemented. Students will code in C# and/or Python.          ",Counseling & Psychological Services
CMIS 4116 , Game Design Studio I," Game Design Studio I2 Credit Hours Prerequisites: Registration restricted to seniors (90 or more credit hours). Description This course is the first part of a 2-course sequence. Students will create a senior studio level project that reflects their skillset as a game designer or developer. Students will work on a solo or team projects to build an approved Game, Simulation, or Application, having developed a project pitch phase and game design document.          ",Counseling & Psychological Services
CMIS 4117 , Game Design Studio II, Game Design Studio II2 Credit Hours Prerequisites: CMIS 4116  with a C or higher. Description This course is the second part of a two-course sequence. In this course students will complete and present final studio projects. This course focuses on refinement of the studio project and for final client or funder presentation and delivery.          ,Counseling & Psychological Services
CMIS 4120 , Game Development II," Game Development II4 Credit Hours Prerequisites: CMIS 3150  with a C or higher. Description(Same as CSC 4840 .) In this course, students will learn advanced 3D graphics and game programming using game engines. The topics will include rendering, lighting, camera, animation, user interaction, physics simulation, and game AI.          ",Counseling & Psychological Services
CMIS 4140 , 3D Modeling and Graphics," 3D Modeling and Graphics4 Credit Hours Prerequisites: CMIS 2100  with a C or higher, or consent of instructor. Description Study the theories, techniques and tools for creating 3D graphics content. Topics include 3D modeling, camera, lighting, materials, texture mapping, physics-based modeling, basic animation, and rendering techniques (such as tracing and radiosity).          ",Counseling & Psychological Services
CMIS 4145 , Advanced 3D Modeling for Games," Advanced 3D Modeling for Games3 Credit Hours Prerequisites: CMIS 4140  with a C or higher. Description Students will learn advanced 3D modeling techniques for creating 3D graphics content. Topics will include 3D sculpting, retopology and optimization, advanced texture mapping, procedural material workflow, rigging, weight painting, cloth creation and physics, hair design, level of detail, photogrammetry, and procedural techniques in 3D modeling.          ",Counseling & Psychological Services
CMIS 4155 , Game Engine Pipeline," Game Engine Pipeline3 Credit Hours Prerequisites: CMIS 3150  or CMIS 4000  with a C or higher. Description Students will learn the fundamentals game design pipeline application using industry standard game engines. This course will cover major aspects of game play including storytelling, modular game design, material setup, object interaction, animation, visual scripting, characters, user interface, AI basics, sound design, cinematics, and level design using Unreal Engine.          ",Counseling & Psychological Services
CMIS 4160 , 3D Animation and Motion Graphics," 3D Animation and Motion Graphics4 Credit Hours Prerequisites: CMIS 4140  with a C or higher, or consent of instructor. Description(Same as CSC 4841 .) This course focuses on the basics of three-dimensional computer animation, including 3D modeling, lighting, texture mapping, key framing, character animation, rigid and soft body dynamics, particles, cloth, hair, and fluid.          ",Counseling & Psychological Services
CMIS 4180 , Visual Effects for Games," Visual Effects for Games3 Credit Hours Prerequisites: Either CMIS 1302 , CMIS 4100 , CSC 1302 , or CSC 2302  with a C or higher. Description Introduction to methods and practice of visual effects for film and video games. Techniques and creative processes in matte painting, multi-pass rendering, compositing, color grading, camera tracking, and post-processing effects will be explored through production assignments in design and implementation for interactive levels and cut-scene sequences. Productions supplemented by critical readings on gameplay, modeling, and simulation.          ",Counseling & Psychological Services
CMIS 4195 , Level Design for Games," Level Design for Games3 Credit Hours Prerequisites: CMIS 4000  or CMIS 3150  with a C or higher. Description Constrained by a game’s established rules and aesthetics, this course in level design will explore the process of building out a level within a game. Topics will include asset selection, development and modification, mechanics, quantification of player and NPC parameters, character development and narrative.          ",Counseling & Psychological Services
CMIS 4200 , Data Visualization," Data Visualization4 Credit Hours Prerequisites: CMIS 1301  or equivalent with a C or higher, or consent of instructor. Description Data visualization is about displaying information and data in visual forms (e.g., charts, maps, diagrams, 3D models) and is closely related to data analytics. Students will learn how to use Python and other tools to create interactive statistical charts, maps, network, and text visualizations. Students will also learn the principles of visualization design, cognitive basis of visualization, and the theoretical foundation of data visualization design.          ",Counseling & Psychological Services
CMIS 4300 , Advanced Game Engine Pipeline," Advanced Game Engine Pipeline4 Credit Hours Prerequisites: CMIS 4155  with a C or higher. Description This course introduces students to advanced concepts in the game asset production pipeline. Game assets include 2D art, 3D models, textures, animations, sound effects, and dialogues. The game pipeline includes planning (design, concept art), production (3D models, textures, sound), and integration.          ",Counseling & Psychological Services
CMIS 4310 , Virtual Production Pipeline," Virtual Production Pipeline4 Credit Hours  Description Introduces the software production pipeline for non-linear animation that allows rapid creation of virtual environments, characters, camera and lighting perspectives that can be used in virtual and augmented reality and video game creation.          ",Counseling & Psychological Services
CMIS 4315 , Advanced Virtual Production Pipeline," Advanced Virtual Production Pipeline4 Credit Hours Prerequisites: CMIS 4310  with a C or higher or approval of instructor. Description This course focuses on advanced virtual environment production. Students will be trained to create and deploy a virtual reality application. They will understand the physical principles of VR and use that knowledge to create a VR application with Unity, UE4, and Reallusion content generation tools.          ",Counseling & Psychological Services
CMIS 4318 , Mobile Game Development," Mobile Game Development3 Credit Hours Prerequisites: CMIS 4120  with a C or higher. Description This course focuses on developing games for mobile platforms. Topics include mobile platforms, mobile game design principles, game engine, graphics, game physics, audio, mobile game input, playtesting, and publishing.          ",Counseling & Psychological Services
CMIS 4320 , Advanced Digital Post Production for TV," Advanced Digital Post Production for TV4 Credit Hours Prerequisites: Instructor permission only. Description Working collaboratively with professional sound designers and visual effects artists, students participate in professional-quality postproduction for TV distribution.          ",Counseling & Psychological Services
CMIS 4330 , Playtesting for Games," Playtesting for Games3 Credit Hours Prerequisites: CMIS 4110  with a C or higher. Description Qualitative and quantitative methods and techniques for testing a game design, its prototype, a beta version or live networked game. Topics may include version control, player modeling, affect detection, player experience, bug reporting, complexity scaling, level testing, statistical analysis and data visualization.          ",Counseling & Psychological Services
CMIS 4350 , Advanced Media Technology Practicum," Advanced Media Technology Practicum2 Credit Hours Prerequisites: Approval of instructor. Description This course includes faculty-supervised project work that trains students for corporate-connected work on virtual reality, game design, and other advanced media technology systems. Students generate client-connected portfolio content and receive skills training in CMII studio systems.  May include a Signature Experience component.     Course may be repeated up to three times (maximum of six hours).   ",Counseling & Psychological Services
CMIS 4375 , Advanced Visual Effects for Games," Advanced Visual Effects for Games3 Credit Hours Prerequisites: CMIS 4180  with a C or higher. Description In this course students will cover advanced techniques in Visual Effects. Students will focus on procedural modeling techniques, particle simulations, and crowd generation techniques.          ",Counseling & Psychological Services
CMIS 4400 , Motion Graphics," Motion Graphics3 Credit Hours  Description Students will learn the fundamentals of motion graphics from the perspective of a wide range of industries including game studios, TV, film, advertising, and social media marketing. This is a hands-on learning experience where the class will create a wide range of motion graphic pieces ranging from data visualizations, explainer stories, film title sequences, social media series, branded bumpers, broadcast titles, lower-thirds, end credits, and more.          ",Counseling & Psychological Services
CMIS 4600 , Introduction to the Music Industry," Introduction to the Music Industry2 Credit Hours Prerequisites: Approval of instructor. Description A survey course in which students examine processes involved in the creation and consumption of music, and the vital roles individuals play in creating, managing, marketing, and distributing musical products to the consumer. Topics will include but not be limited to the roles of artists, engineers, managers, promoters, producers, and lawyers, as well as music licensing, retail, and physical/digital distribution operations.          ",Counseling & Psychological Services
CMIS 4610 , Promotion of Recorded Music," Promotion of Recorded Music2 Credit Hours Prerequisites: ENGL 1102  with a C or higher. DescriptionCross-listed with MTM 3020 . Study of how the record industry relates to and makes use of various media to bring recorded music to its intended market The course examines record promotion strategies and techniques and the environment within which promotion representatives, radio programmers, and various media interact.          ",Counseling & Psychological Services
CMIS 4620 , Marketing and Branch Sales in the Music Industry," Marketing and Branch Sales in the Music Industry3 Credit Hours Prerequisites: CMIS 4600  with a C or higher. Description(Same as MTM 3030 .) This course surveys the processes involved in the marketing of music Topics will include but not be limited to music marketing organizations, streaming, retail chain operations, branch distribution, International markets, and marketing music on the internet. The globalization of music and its future as a business entity will also be examined.          ",Counseling & Psychological Services
CMIS 4630 , Legal Aspects of the Music Industry, Legal Aspects of the Music Industry3 Credit Hours Prerequisites: CMIS 4600  with a C or higher. DescriptionCross-listed with MTM 3050 . The course provides basic knowledge of legal issues relevant to the music industry Students will learn key terminology of the music business and will gain industry acumen as it relates to legal issues in music and entertainment law.          ,Counseling & Psychological Services
CMIS 4640 , Music Copyright and Publishing," Music Copyright and Publishing3 Credit Hours Prerequisites: CMIS 4600  or MTM 3010  with a C or higher. Description(Same as MTM 3300 .) An examination of the processes of songwriting and music publishing and administration, performance and mechanical royalties, copyright law, income sources, contractual agreements, licensing and foreign rights will be covered Emphasis will be placed on how music publishing works in the digital, print, broadcast media, film, video, recording and advertising industries.          ",Counseling & Psychological Services
CMIS 4660 , Artist Representation in the Music Industry," Artist Representation in the Music Industry2 Credit Hours Prerequisites: CMIS 4600  with a C or higher. DescriptionCross-listed with MTM 3450 . This course focuses on the responsibilities of the personal and business manager, booking agent, and other representatives as they relate to the development of artists’ careers Topics include contract negotiation, promotional packages, and securing employment within the music industry.          ",Counseling & Psychological Services
CMIS 4670 , Entrepreneurship in the Music Industry," Entrepreneurship in the Music Industry3 Credit Hours Prerequisites: CMIS 4600  with a C or higher. Description(Same as MTM 3440 .) Designed for students wanting to form a media business. Theoretical and practical applications in starting and maintaining a new business. Students will identify key terminology associated with entrepreneurship and possess industry acumen related to music and entertainment. Focus on the business plan elements including concept definition, revenue, competition and target consumers, business entity selection, share distribution, IP, accounting, and venture capital.          ",Counseling & Psychological Services
CMIS 4680 , Social Media for the Entertainment Industries, Social Media for the Entertainment Industries3 Credit Hours  Description Provides students with foundation and platform for how an artist’s or entertainer’s team would approach a social media marketing strategy and execute promotional strategy. Covers all key areas that comprise a holistic social media ecosystem.          ,Counseling & Psychological Services
CMIS 4870 , Honors Thesis I, Honors Thesis I1 to 6 Credit Hours Prerequisites: Good standing with the Honors College and consent of instructor. Description Readings or research preparatory to honors thesis or creative project.  Signature Experience course.        ,Counseling & Psychological Services
CMIS 4880 , Honors Thesis II," Honors Thesis II1 to 6 Credit Hours Prerequisites: Good standing with the Honors College, and consent of instructor. Description Writing or production of an honors thesis or creative project.  Signature Experience course.        ",Counseling & Psychological Services
CMIS 4900 , Senior Game Design Portfolio-CTW," Senior Game Design Portfolio-CTW3 Credit Hours Prerequisites: CMIS 4116  with C or higher.Requirements: Meets the senior capstone requirement and Critical Thinking Through Writing (CTW) requirement for the BA Game Design major, and the BS Game Development major.    Description In this course students produce a senior portfolio book, resume, website, artists statements, and package an accurate representation of their body of work in Game Design, Game Development, Virtual Production, or Immersive Media.  Critical Thinking Through Writing (CTW) course.        ",Counseling & Psychological Services
CMIS 4905 , Digital Literacy Leadership," Digital Literacy Leadership4 Credit Hours Prerequisites: Instructor permission required. Description Provides academic credit for the Digital Learners to Leaders program, which prepares students for academic and interpersonal career success by providing training opportunities that will enhance digital skills. Students work in teams to tackle challenges facing urban communities and explore issues faced by Atlanta’s education, business, government and non-profit community. Students develop technology skills, build portfolio projects, and explore technology while developing career skills.          ",Counseling & Psychological Services
CMIS 4910 , Special Topics in Creative Media CTW, Special Topics in Creative Media CTW3 Credit Hours Requirements: Meets the senior capstone requirement and Critical Thinking Through Writing (CTW) requirement for the BIS Media Entrepreneurship concentration.    Description This course emphasizes critical thinking by focusing on the iterative logics of creative media design thinking and research focused on complex creative media industries.  Critical Thinking Through Writing (CTW) course.     May be repeated if topics vary. A maximum of six credit hours may be applied to a BIS concentration plan of study.   ,Counseling & Psychological Services
CMIS 4912 , Games Studies," Games Studies3 Credit Hours  Description An advanced course in a focused topic within game studies related to history, industry, technology and aesthetics. Topics within industrial and historical studies may include technological and economic innovations, labor and workplace formation or intellectual property. Topics within technology and aesthetics studies may include procedural generation, visual aesthetics, sound design and music, character design, narrative styles, games and their allied arts.          ",Counseling & Psychological Services
CMIS 4914 , Special Topics in Media/Arts Entrepreneurship, Special Topics in Media/Arts Entrepreneurship3 Credit Hours  Description        May be repeated if topics vary. A maximum of six credit hours may be applied to a BIS concentration plan of study.   ,Counseling & Psychological Services
CMIS 4915 , Special Topics in Advanced Technology Content Production, Special Topics in Advanced Technology Content Production3 to 4 Credit Hours  Description        May be repeated if topics vary. A maximum of six credit hours may be applied to a BIS concentration plan of study.   ,Counseling & Psychological Services
CMIS 4980 , Internship, Internship1 to 6 Credit Hours Requirements: Only students who have met the relevant BIS concentration eligibility requirements may enroll in this course without department approval.    Description Representative field experiences in media and creative industries project work.  This course may include a Signature Experience component.        ,Counseling & Psychological Services
CMIS 4999 , Directed Readings," Directed Readings1 to 4 Credit Hours  Description Writing or production of a research or creative project otherwise not catalog available.       May be repeated, but only 6 CH can credit to a CMII-coordinated degree program.   ",Counseling & Psychological Services
CPS 2500 , Career Development and Life Planning," Career Development and Life Planning3 Credit Hours  Description The purpose of this course is to help students learn how to manage their career development and life planning, based on relevant theories, practice, and trends in economic, technology, and labor market development. Students obtain skills for career decision making and life planning, and adapting to the rapidly changing world of work. The goal is to facilitate personal fulfillment and satisfying interpersonal relationships through career and life planning, with special attention to multicultural issues in the world of work.          ",Creative Media Industries Study
CPS 3200 , Diversity and Human Relations," Diversity and Human Relations3 Credit Hours Requirements: Students pay a lab fee of $40.00.    Description The purpose of this course is to provide students with an overview of human diversity and human relations, beginning with an examination of the nature of diversity and the roles of both genetics and culture. Attention is given to diversity issues -past, present, and future- that still need to be studied and confronted. This course will cover types of human diversity and how they are grouped while studying their unique social, physical, intellectual, and emotional attributes. This course will help students employ a multicultural perspective for examining human interaction and relations on many different levels. This course is fully online, with no course meetings.  Global Scholars Course.     Course is not repeatable.  Formerly numbered CPS 2200. ",Creative Media Industries Study
CPS 3300 , Interpersonal Communication Skills," Interpersonal Communication Skills3 Credit Hours Requirements: Students pay a lab fee of $40.00.    Description The purpose of this course is to provide students with an overview of interpersonal communication skills, including how these skills affect individuals and groups in society. Emphasis is on personal and interpersonal strategies for understanding, appreciating, and managing communication skills in personal and career relationships. It focuses on self-disclosure, perceptions, spoken and unspoken communication, listening and responding strategies, and problem-solving skills. A secondary benefit of this course is examining the many ways technology and online communication intersect with and become part of interpersonal communication as interactive technologies shrink the distance between people and their respective cultures. This course is fully online, with no course meetings.       Course is not repeatable.  Formerly numbered CPS 2300. ",Creative Media Industries Study
CPS 3400 , Career and Lifespan Development," Career and Lifespan Development3 Credit Hours Requirements: Students pay a lab fee of $40.00.    Description The purpose of this course is to provide an overview of career and lifespan development theories and skills, and how students can employ those skills in their own career and lifespan development. The course will include how personal growth and life stages impact individuals and society, and in turn, their career choices. Emphasis is on understanding career and job choices now available, as well as personal strategies for career decision-making. This course is fully online, with no course meetings.       Course is not repeatable.  Formerly numbered CPS 2400. ",Creative Media Industries Study
CPS 3500 , Stress and Stress Management," Stress and Stress Management3 Credit Hours  Description The course provides information about what stress is and the major sources of stress in daily living, the ways stress is studied, the way our bodies react to stress, and how stress is related to a variety of psychological and physical factors. The major topics to be covered include: (1) models of understanding stress; (2) how the body reacts to and defends against stress; (3) the physical, psychological, and emotional effects of chronic stress; (4) sources of stress in life changes, life habits, personality traits, and working conditions; and (5) life principles and practices which will assist in lessening the harmful effects of chronic stress.          ",Creative Media Industries Study
CPS 3600 ," Positive Psychology: Not Just Happiness, but Pursuit of a Meaningful Life"," Positive Psychology: Not Just Happiness, but Pursuit of a Meaningful Life3 Credit Hours  Description The course provides an overview of theory and empirical research on human strengths, flourishing, and well-being. The major topics to be covered include: (1) measurement and classification of human strengths; (2) the roles of environment, development, and culture in psychological functioning; (3) the neurobiology of human strengths; (4) the physical and mental-health benefits of human strengths; and (5) how positive psychology can inform prevention and intervention efforts in schools and the workplace. Students will also engage in weekly experiential activities designed to deepen their understanding of positive psychology constructs (e.g., gratitude, altruism) and facilitate personal development.          ",Creative Media Industries Study
CPS 4880 , Peer Mentoring for a More Inclusive Campus Community," Peer Mentoring for a More Inclusive Campus Community3 Credit Hours  Description Through participation in this service-learning course, students will learn (a) how to interact and connect with individuals with disabilities in meaningful and respectful ways; and (b) how to mentor students with intellectual disabilities as they participate in college coursework, internships, and social/recreational activities as part of GSU’s Inclusive Digital Expression & Literacy (IDEAL) program. Students will be immersed in disability culture and policy through readings and media, community engagement, and on-going interactions with individuals with disabilities. Students will have the opportunity to evaluate the inclusivity on college campus and programs, learn from guest speaker presentations, and positively influence the implementation of an inclusive postsecondary education program at GSU. Through self-reflections, one-on-one peer mentoring, and co-creation of a short presentation with their mentee, students will be leading the way in building a more inclusive university community. In addition to peer mentoring, advocacy and leadership opportunities will be introduced and encouraged as part of this course.          ",Creative Media Industries Study
CRJU 1100 , Introduction to Criminal Justice, Introduction to Criminal Justice3 Credit Hours  Description This course provides an overview of the American criminal justice system. Agencies and processes involved in law enforcement and courts as well as correctional approaches will be introduced.          ,Criminal Justice
CRJU 2010 , Proseminar in Criminal Justice," Proseminar in Criminal Justice3 Credit Hours  Description This course is part of the Criminal Justice Sophomore Learning Community initiative and is restricted to majors who are concurrently enrolled in the cohort-based registration model. The course content is designed to introduce students to the fundamentals of the study of criminal justice. Students will build the key competencies required to become a successful criminal justice student. Students will learn how to source and document scholarly sources, analyze and construct arguments, identify and evaluate hidden assumptions, apply critical thinking to solve complex, real-world challenges, and develop the skills to become effective written and oral communicators.          ",Criminal Justice
CRJU 2110 , Policing in America," Policing in America3 Credit Hours  Description This course provides an introductory overview of the history, role, organization, and problems affecting public law enforcement in the U.S.          ",Criminal Justice
CRJU 2200 , Social Science and the American Crime Problem," Social Science and the American Crime Problem3 Credit Hours  Description This course provides a broad theoretical and empirical overview of the American crime problem. Exploring crime from a social science perspective, the course develops a survey understanding of how the patterned influence of social institutions (family, government, schools), subcultures, and the psychology of everyday life come together to shape how society defines, organizes, and responds to crime.          ",Criminal Justice
CRJU 2310 , Corrections," Corrections3 Credit Hours  Description This course provides an introduction to the correctional process and interventions designed to prevent and control adult criminal behavior. The course also will address the philosophy and goals underlying correctional interventions, types of criminal sentencing, and penal sanctions including community-based corrections, institutional corrections, and parole.          ",Criminal Justice
CRJU 2700 , American Criminal Courts," American Criminal Courts3 Credit Hours  Description This course provides an overview of the judicial component of the criminal justice system, which focuses on the structure, role, jurisdiction, and operation of courts and the courtroom work group in the adjudicatory and appellate process at the local, state, and federal levels.          ",Criminal Justice
CRJU 3005 , Career Planning & Management," Career Planning & Management3 Credit Hours  Description Principles, methods, and practice in achieving career goals with emphasis on the exploration of career opportunities, identification of strengths, resume development, cover letter composition, interviewing, salary and benefits negotiations, networking, professional image, and the use of technology in achieving career goals.          ",Criminal Justice
CRJU 3020 , Research Methods in Criminal Justice," Research Methods in Criminal Justice3 Credit Hours  Description This course provides an introduction to social science research methods as they apply to criminal justice and how to evaluate and conduct research in the study of crime and criminal justice problems. The course introduces students to the tools and vocabulary of the scientific method. Various data collection techniques used in criminological and criminal justice research are explored and critiqued both methodologically and ethically. Students will learn how to critically evaluate the quality of research products and their contribution to the fields of criminal justice and criminology, as well as to learn how to develop and test their own research problems.          ",Criminal Justice
CRJU 3060 , Ethical Issues in Criminal Justice (CTW)," Ethical Issues in Criminal Justice (CTW)3 Credit Hours  Description This course provides an examination of philosophical theories underlying ethics and how they relate to law enforcement, courts, corrections, law, criminal justice research, and principles of justice. This course is one of two Critical Thinking through Writing (CTW) courses that all Criminal Justice majors must successfully pass in order to graduate.          ",Criminal Justice
CRJU 3070 , Race and the Criminal Justice System," Race and the Criminal Justice System3 Credit Hours Requirements: Cities Perspectives Course.    Description This course will examine the relationship between race, crime, and the criminal justice system with particular attention given to theoretical issues in the literature involving race, gender, and social class; crime statistics; and bias in the criminal justice system related to arrests, prosecutions, sentencing, and incarceration. Public policy questions involving issues such as racial profiling, capital punishment, and War on Drugs also will be discussed.          ",Criminal Justice
CRJU 3100 , Introduction to Criminal Justice, Introduction to Criminal Justice3 Credit Hours  FOR NON-CRIMINAL JUSTICE MAJORS AND NON-CRIMINAL JUSTICE MINORS ONLY.   Description This course provides an overview of the American criminal justice system. Agencies and processes involved in law enforcement and courts as well as correctional approaches will be introduced.          ,Criminal Justice
CRJU 3210 , Juvenile Offending," Juvenile Offending3 Credit Hours  Description This course provides an introduction to the definition, measurement, extent, and etiology of juvenile offending. The course will focus on our understanding of individual, social, and environmental factors that contribute to crime and delinquency. Trends in juvenile offending also will be addressed.          ",Criminal Justice
CRJU 3350 , Prisons and Jails, Prisons and Jails3 Credit Hours  Description This course surveys the history and present status of correctional processing of adult offenders and the administration of adult correctional institutions in America.          ,Criminal Justice
CRJU 3405 , Digital Crime Problem," Digital Crime Problem3 Credit Hours  Description This course examines digital forms of crime and control, including their types, causes, and consequences.          ",Criminal Justice
CRJU 3410 , Criminological Theory," Criminological Theory3 Credit Hours  Description This course provides a survey of criminological theory and practice, the nature and causation of crime, and the etiology and nature of criminal offenses and offenders.          ",Criminal Justice
CRJU 3415 , Future Crime," Future Crime3 Credit Hours  Description This course explores crimes that we have just started experiencing, by offenders of whom we are only now becoming aware.          ",Criminal Justice
CRJU 3610 , Statistical Analyses in Criminal Justice," Statistical Analyses in Criminal Justice3 Credit Hours  Description This course provides an introduction to basic statistical tools used in generate information in the field of criminal justice. The course focuses on calculating a variety of univariate, bivariate, and inferential statistics. The appropriate uses and the meaning of these statistics will also be emphasized.          ",Criminal Justice
CRJU 3710 , Policing and Individual Rights," Policing and Individual Rights3 Credit Hours  Description This course examines the police role in maintaining social control while simultaneously protecting the rights of citizens. It provides an overview of the authority and restraints imposed on law enforcement by the federal Constitution and Supreme Court decisions, and the rights and responsibilities afforded to individuals. Specific attention will be given to the 1st, 4th, 5th, 6th, and 14th Amendments. Topics to be discussed include the arrests, searches and seizures, interviews and interrogations, identification procedures, and the right to counsel as well as remedies for constitutional violations.          ",Criminal Justice
CRJU 4010 , Gender in Criminal Justice, Gender in Criminal Justice3 Credit Hours  Description This course provides an examination of gender issues and the role they play in offending and criminal justice processing.          ,Criminal Justice
CRJU 4020 , Criminal Justice Policy Analysis," Criminal Justice Policy Analysis3 Credit Hours  Description This course is designed to introduce the student to the major concepts related to the development, implementation, and evaluation of public policy, particularly as it relates to the criminal justice system, including the history, development and operation of policing, courts/sentencing, corrections, crime prevention, offender rehabilitation, as well as issues related to drugs and crime and race and crime.          ",Criminal Justice
CRJU 4040 , Comparative Criminal Justice Systems," Comparative Criminal Justice Systems3 Credit Hours  Description This course provides an overview and analysis of criminal justice systems - police, courts, and corrections- in selected eastern and western nations.  Global Perspectives Course.        ",Criminal Justice
CRJU 4050 , Wrongful Convictions," Wrongful Convictions3 Credit Hours  Description This course provides an intense study of the causes, correlates, and consequences of wrongful convictions. The course critically examines criminal justice system failures, the role of governmental actors, and practice/policy reforms used to detect, remedy, and prevent future miscarriages of justice.          ",Criminal Justice
CRJU 4070 , Family Violence and Criminal Justice," Family Violence and Criminal Justice3 Credit Hours  Description This course examines how the criminal justice system responds to family violence. In addition to addressing causes and consequences of family violence, specific attention is given to various forms of family violence (child abuse, sibling abuse, partner violence, and elder abuseas well as how the criminal justice system (police, courts, probation, corrections, and paroleresponds to each of these types of violence. The types of policies used to prevent family violence and intervene in these cases are also examined.          ",Criminal Justice
CRJU 4080 , Crime and the Media," Crime and the Media3 Credit Hours  Description This course explores the nature of media messages concerning crime and how media images impact both individual attitudes and public policy. Particular attention is focused on how race and gender are treated in the media. This course integrates readings, theory, media excerpts, and classroom discussions to investigate crime in the media.          ",Criminal Justice
