,CourseNumber,CourseTitle,Description,CourseDepartment
2405,CMPL 745,The Vanguards,"The theory and practice of innovative writing, especially since the 19th century. Topics include the historical Spanish American and Anglo-European vanguards, experimental literature, modernismo's literary rebellion, gender, and cultural studies.",CMPL
2406,CMPL 747,The Contemporary Spanish American Novel,"The theory and practice of the novel since the 1960s. Topics include the Spanish American ""Boom"" of the 60s and 70s, major international trends and writers, gender, cultural studies.",CMPL
2407,CMPL 796,Reading Course,No information available for this course,CMPL
2408,CMPL 821,Reading Ironies,"Study of processes of recognizing and constructing ironies in texts, with consideration of both theoretical issues and practical readings.",CMPL
2409,CMPL 841,History of Literary Criticism I: The Origins of Theory and Criticism,"Traces major strains in literary criticism and theory from classical antiquity to the 18th century, pairing primary critical texts with contemporary literary examples and modern day theoretical responses. Authors read include: Plato, Aristotle, Aristophanes, Horace, Augustine, and Burke; Homer, Ovid, Virgil, Dante, and Pope; and Auerbach, Derrida, Ricoeur, and Benjamin.",CMPL
2410,CMPL 842,History of Literary Criticism II: 1750-1950,Study of major theoretical and critical writings in Europe from the middle of the 18th to the early 20th century.,CMPL
2411,CMPL 843,20th-Century Literary Theory,"An overview of major theoretical developments of the 20th century, including such movements as Saussurean linguistics, Russian Formalism, Prague Circle Semiotics, poststructuralism, phenomenology, psychoanalysis, feminism, and Marxism.",CMPL
2412,CMPL 844,Modern Women Writers,"Exploration of 'l'ecriture feminine' through texts of modern women writers, artists, and critics who expanded the frontiers of expression beyond the conventionally articulable into spaces of silence and the 'non-dit.'",CMPL
2413,CMPL 890,Special Topics in Comparative Literature,No information available for this course,CMPL
2414,CMPL 892,Interdisciplinary Seminar in Renaissance Studies,Topic announced annually in advance.,CMPL
2415,CMPL 894,Seminar,Topic announced annually in advance.,CMPL
2416,CMPL 900,Research,No information available for this course,CMPL
2417,CMPL 992,Master's (Non-Thesis),No information available for this course,CMPL
2418,CMPL 993,Master's Research and Thesis,No information available for this course,CMPL
2419,CMPL 994,Doctoral Research and Dissertation,No information available for this course,CMPL
2420,COMP 50,First-Year Seminar: Everyday Computing,"The goal of this first-year seminar is to understand the use of computing technology in our daily activities.  In this course, we will study various examples of how computing solves problems in different aspects in our daily life. Honors version available.",COMP
2421,COMP 60,First-Year Seminar: Robotics with LEGO®,"This seminar explores the process of design and the nature of computers by designing, building, and programming LEGO robots.  Competitions to evaluate various robots are generally held at the middle and at the end of the semester.  Previous programming experience is not required. Honors version available.",COMP
2422,COMP 65,"First-Year Seminar: Folding, from Paper to Proteins","Explore the art of origami, the science of protein, and the mathematics of robotics through lectures, discussions, and projects involving artistic folding, mathematical puzzles, scientific exploration, and research. Honors version available.",COMP
2423,COMP 80,First-Year Seminar: Enabling Technology--Computers Helping People,Service-learning course exploring issues around computers and people with disabilities. Students work with users and experts to develop ideas and content for new technologies. No previous computer experience required. Honors version available.,COMP
2424,COMP 85,First-Year Seminar: The Business of Games,"This seminar will study the concepts associated with video gaming by having small teams design a game, build a prototype, and put together a business proposal for the game. Honors version available.",COMP
2425,COMP 89,First -Year Seminar: Special Topics,Special topics course.  Content will vary each semester. Honors version available.,COMP
2426,COMP 101,Fluency in Information Technology," The nature of computers, their capabilities, and limitations. How computers work, popular applications, problem-solving skills, algorithms and programming. Lectures and laboratory assignments. Students may not receive credit for this course after receiving credit for COMP 110 or higher.",COMP
2427,COMP 110,Introduction to Programming and Data Science," Introduces students to programming and data science from a computational perspective. With an emphasis on modern applications in society, students gain experience with problem decomposition, algorithms for data analysis, abstraction design, and ethics in computing. No prior programming experience expected. Foundational concepts include data types, sequences, boolean logic, control flow, functions/methods, recursion, classes/objects, input/output, data organization, transformations, and visualizations. Students may not enroll in COMP 110 after receiving credit for COMP 210 or greater. Honors version available.",COMP
2428,COMP 116,Introduction to Scientific Programming," An introduction to programming for computationally oriented scientists. Fundamental programming skills, typically using MATLAB or Python. Problem analysis and algorithm design with examples drawn from simple numerical and discrete problems.",COMP
2429,COMP 126,Practical Web Design and Development for Everyone,"A ground-up introduction to current principles, standards, and best practice in website design, usability, accessibility, development, and management through project-based skills development in HTML5, CSS, and basic JavaScript. Intended for nonmajors.",COMP
2430,COMP 180,Enabling Technologies,We will investigate ways computer technology can be used to mitigate the effects of disabilities and the sometimes surprising response of those we intended to help. Honors version available.,COMP
2431,COMP 185,Serious Games,"Concepts of computer game development and their application beyond entertainment to fields such as education, health, and business. Course includes team development of a game. Excludes COMP majors. Honors version available.",COMP
2432,COMP 190,Topics in Computing,"Permission of the instructor. Special topics in computing targeted primarily for students with no computer science background. This course has variable content and may be taken multiple times for credit. As the content will vary with each offering, there are no set",COMP
2433,COMP 210,Data Structures and Analysis," This course will teach you how to organize the data used in computer programs so that manipulation of that data can be done efficiently on large problems and large data instances.  Rather than learning to use the data structures found in the libraries of programming languages, you will be learning how those libraries are constructed, and why the items that are included in them are there (and why some are excluded).",COMP
2434,COMP 211,Systems Fundamentals, This is the first course in the introductory systems sequence. Students enter the course having taken an introductory programming course in a high-level programming language (COMP 110) and a course in discrete structures. The overarching goal is to bridge the gap between a students' knowledge of a high-level programming language (COMP 110) and computer organization (COMP 311).,COMP
2435,COMP 222,ACM Programming Competition Practice,Structured practice to develop and refine programming skills in preparation for the ACM programming competition.,COMP
2436,COMP 227,Effective Peer Teaching in Computer Science," Fundamentals of computer science pedagogy and instructional practice with primary focus on training undergraduate learning assistants for computer science courses. Emphasis on awareness of social identity in learning, active learning in the computer science classroom, and effective mentorship. All students must be granted a computer science learning assistantship or obtain prior approval to substitute relevant practicum experience prior to enrollment.",COMP
2437,COMP 283,Discrete Structures," Introduces discrete structures (sets, tuples, relations, functions, graphs, trees) and the formal mathematics (logic, proof, induction) used to establish their properties and those of algorithms that work with them. Develops problem-solving skills through puzzles and applications central to computer science. Honors version available.",COMP
2438,COMP 290,Special Topics in Computer Science,Non-technical topics in computer science for computer science majors. May not be used to satisfy any degree requirements for a computer science major. This course has variable content and may be taken multiple times for credit.,COMP
2439,COMP 293,Internship in Computer Science, Permission of instructor and  director of undergraduate studies required. Computer science majors only. A signed learning contract is required before a student may register. Work experience in non-elementary computer science.,COMP
2440,COMP 301,Foundations of Programming," Students will learn how to reason about how their code is structured, identify whether a given structure is effective in a given context, and look at ways of organizing units of code that support larger programs. In a nutshell, the primary goal of the course is to equip students with tools and techniques that will help them not only in later courses in the major but also in their careers afterwards.",COMP
2441,COMP 311,Computer Organization," Introduction to computer organization and design. Students will be introduced to the conceptual design of a basic microprocessor, along with assembly programming.  The course includes fundamental concepts such as binary numbers, binary arithmetic, and representing information as well as instructions. Students learn to program in assembly (i.e., machine) language.  The course covers the fundamentals of computer hardware design,  transistors and logic gates, progressing through basic combinational and sequential components, culminating in the conceptual design CPU.",COMP
2442,COMP 325,How to Build a Software Startup,"Explores real-world skills for successfully developing and launching a software startup in an experiential learning environment.  Customer outreach and feedback, market analysis, business model development, agile product development, with mentors from the entrepreneurship community.",COMP
2443,COMP 380,Introduction to Digital Culture,"An introduction to digital technology and computer science issues in society. Topics may include Internet history, privacy, security, usability, graphics, games, computers in the media, development, economics, social media, AI, IP, computer and Internet ethics, global ethics, current legal issues, etc. Honors version available.",COMP
2444,COMP 388,Advanced Cyberculture Studies," Explores Internet history and cyberphilosophy; online identify construction, community, communication, creativity; bodies/cyborgs; intelligence and AI. Students perform independent research into and analyze virtual worlds, social media, anonymous bulletin boards, mobile media, and more, and create digital art and literature. Seminar-style; students collaborate on designing and leading class.",COMP
2445,COMP 390,Computer Science Elective Topics,Elective topics in computer science for computer science majors. May not be used to satisfy any degree requirements for a computer science major. This course has variable content and may be taken multiple times for credit.,COMP
2446,COMP 393,Software Engineering Practicum, Students develop a software program for a real client under the supervision of a faculty member. Projects may be proposed by the student but must have real users. Course is intended for students desiring practical experiences in software engineering but lacking the experience required for external opportunities. Majors only.,COMP
2447,COMP 401,Foundation of Programming," Required preparation, a first formal course in computer programming (e.g., COMP 110, COMP 116). Advanced programming: object-oriented design, classes, interfaces, packages, inheritance, delegation, observers, MVC (model view controller), exceptions, assertions. Students may not receive credit for this course after receiving credit for COMP 301. Honors version available.",COMP
2448,COMP 410,Data Structures," Abstract data types, lists, stacks, queues, trees, and graphs. Sorting, searching, hashing. Students may not receive credit for this course after receiving credit for COMP 210.",COMP
2449,COMP 411,Computer Organization," Digital logic, circuit components. Data representation, computer architecture and implementation, assembly language programming. Students may not receive credit for this course after receiving credit for COMP 311.",COMP
2450,COMP 421,Files and Databases," Placement of data on secondary storage. File organization. Database history, practice, major models, system structure and design. Previously offered as COMP 521.",COMP
2451,COMP 426,Modern Web Programming," Developing applications for the World Wide Web including both client-side and server-side programming. Emphasis on Model-View-Controller architecture, AJAX, RESTful Web services, and database interaction.",COMP
2452,COMP 431,Internet Services and Protocols," Application-level protocols HTTP, SMTP, FTP, transport protocols TCP and UDP, and the network-level protocol IP. Internet architecture, naming, addressing, routing, and DNS. Sockets programming. Physical-layer technologies. Ethernet, ATM, and wireless.",COMP
2453,COMP 433,Mobile Computing Systems," Principles of mobile applications, mobile OS, mobile networks, and embedded sensor systems. Coursework includes programming assignments, reading from recent research literature, and a semester long project on a mobile computing platform (e.g., Android, Arduino, iOS, etc.).",COMP
2454,COMP 435,Computer Security Concepts," Introduction to topics in computer security including confidentiality, integrity, availability, authentication policies, basic cryptography and cryptographic protocols, ethics, and privacy. A student may not receive credit for this course after receiving credit for COMP 535.",COMP
2455,COMP 447,Quantum Computing," Recommended preparation, some knowledge of basic linear algebra. An introduction to quantum computing. Basic math and quantum mechanics necessary to understand the operation of quantum bits. Quantum gates, circuits, and algorithms, including Shor's algorithm for factoring and Grover's search algorithm. Entanglement and error correction. Quantum encryption, annealing, and simulation. Brief discussion of technologies.",COMP
2456,COMP 455,Models of Languages and Computation," Introduction to the theory of computation. Finite automata, regular languages, pushdown automata, context-free languages, and Turing machines. Undecidable problems.",COMP
2457,COMP 475,2D Computer Graphics," Fundamentals of modern software 2D graphics; geometric primitives, scan conversion, clipping, transformations, compositing, texture sampling. Advanced topics may include gradients, antialiasing, filtering, parametric curves, and geometric stroking.",COMP
2458,COMP 486,Applications of Natural Language Processing," Students with graduate standing in SILS may take the course without the prerequisite. Explores current and future uses of natural language technologies. Topics vary and may include translation, generation, deception, health informatics, ethics and evaluation, and student-selected areas of interest.",COMP
2459,COMP 487,Information Retrieval,"Study of information retrieval and question answering techniques, including document classification, retrieval and evaluation techniques, handling of large data collections, and the use of feedback.",COMP
2460,COMP 488,Data Science in the Business World,"Students will acquire hands-on data science skills enabling them to solve real-world business problems. Since data science is an interdisciplinary field, business and computer science students learn and work together in this course. Leveraging each other's skills and knowledge, students create data-driven business insights using modern analytics.",COMP
2461,COMP 495,Mentored Research in Computer Science,"Independent research conducted under the direct mentorship of a computer science faculty member. If repeated, the repeated course can not be counted for the major. For computer science majors only. Permission of instructor required.",COMP
2462,COMP 496,Independent Study in Computer Science,Permission of the department. Computer science majors only. For advanced majors in computer science who wish to conduct an independent study or research project with a faculty supervisor. May be taken repeatedly for up to a total of six credit hours.,COMP
2463,COMP 520,Compilers," Design and construction of compilers. Theory and pragmatics of lexical, syntactic, and semantic analysis. Interpretation. Code generation for a modern architecture.  Run-time environments. Includes a large compiler implementation project.",COMP
2464,COMP 523,Software Engineering Laboratory," Organization and scheduling of software engineering projects, structured programming, and design. Each team designs, codes, and debugs program components and synthesizes them into a tested, documented program product.",COMP
2465,COMP 524,Programming Language Concepts," Concepts of high-level programming and their realization in specific languages. Data types, scope, control structures, procedural abstraction, classes, concurrency. Run-time implementation.",COMP
2466,COMP 530,Operating Systems," Types of operating systems. Concurrent programming. Management of storage, processes, devices. Scheduling, protection. Case study. Course includes a programming laboratory. Honors version available.",COMP
2467,COMP 533,Distributed Systems," Distributed systems and their goals; resource naming, synchronization of distributed processes; consistency and replication; fault tolerance; security and trust; distributed object-based systems; distributed file systems; distributed Web-based systems; and peer-to-peer systems.",COMP
2468,COMP 535,Introduction to Computer Security," Principles of securing the creation, storage, and transmission of data and ensuring its integrity, confidentiality and availability. Topics include access control, cryptography and cryptographic protocols, network security, and online privacy.",COMP
2469,COMP 541,Digital Logic and Computer Design, This course is an introduction to digital logic as well as the structure and electronic design of modern processors. Students will implement a working computer during the laboratory sessions.,COMP
2470,COMP 550,Algorithms and Analysis, Formal specification and verification of programs. Techniques of algorithm analysis. Problem-solving paradigms. Survey of selected algorithms.,COMP
2471,COMP 555,Bioalgorithms," Bioinformatics algorithms. Topics include DNA restriction mapping, finding regulatory motifs, genome rearrangements, sequence alignments, gene prediction, graph algorithms, DNA sequencing, protein sequencing, combinatorial pattern matching, approximate pattern matching, clustering and evolution, tree construction, Hidden Markov Models, randomized algorithms.",COMP
2472,COMP 560,Artificial Intelligence," Introduction to techniques and applications of modern artificial intelligence. Combinatorial search, probabilistic models and reasoning, and applications to natural language understanding, robotics, and computer vision.",COMP
2473,COMP 562,Introduction to Machine Learning," Machine learning as applied to speech recognition, tracking, collaborative filtering and recommendation systems. Classification, regression, support vector machines, hidden Markov models, principal component analysis, and deep learning.",COMP
2474,COMP 572,Computational Photography, The course provides a hands on introduction to techniques in computational photography--the process of digitally recording light and then performing computational manipulations on those measurements to produce an image or other representation. The course includes an introduction to relevant concepts in computer vision and computer graphics.,COMP
2475,COMP 575,Introduction to Computer Graphics," Hardware, software, and algorithms for computer graphics. Scan conversion, 2-D and 3-D transformations, object hierarchies. Hidden surface removal, clipping, shading, and antialiasing. Not for graduate computer science credit.",COMP
2476,COMP 576,Mathematics for Image Computing, Mathematics relevant to image processing and analysis using real image computing objectives and provided by computer implementations.,COMP
2477,COMP 580,Enabling Technologies, We will investigate ways computer technology can be used to mitigate the effects of disabilities and the sometimes surprising response of those we intended to help.,COMP
2478,COMP 581,Introduction to Robotics," Hands-on introduction to robotics with a focus on the computational aspects. Students will build and program mobile robots. Topics include kinematics, actuation, sensing, configuration spaces, control, and motion planning. Applications include industrial, mobile, personal, and medical robots. Honors version available.",COMP
2479,COMP 585,Serious Games," Concepts of computer game development and their application beyond entertainment to fields such as education, health, and business. Course includes team development of a game. Honors version available.",COMP
2480,COMP 590,Topics in Computer Science,Permission of the instructor. This course has variable content and may be taken multiple times for credit. Different sections may be taken in the same semester. Honors version available.,COMP
2481,COMP 630,Operating System Implementation," Students will learn how to write OS kernel code in C and a small amount of assembly. Students will implement major components of the OS kernel, such as page tables, scheduling, and program loading.",COMP
2482,COMP 631,Computer Networks,"Required preparation, a first course in operating systems, a first course in networking (e.g., COMP 431 and 530), and knowledge of probability and statistics. Topics in computer networks, including link layer protocols, switching, IP, TCP, and congestion control. Additional topics may include peer-to-peer infrastructures, network security, and multimedia applications.",COMP
2483,COMP 633,Parallel and Distributed Computing,"Required preparation, a first course in operating systems and a first course in algorithms (e.g., COMP 530 and 550). Principles and practices of parallel and distributed computing. Models of computation. Concurrent programming languages and systems. Architectures. Algorithms and applications. Practicum.",COMP
2484,COMP 635,Wireless and Mobile Communications, This course builds an understanding of the core issues encountered in the design of wireless (vs. wired) networks. It also exposes students to fairly recent paradigms in wireless communication.,COMP
2485,COMP 636,Distributed Collaborative Systems," Design and implementation of distributed collaborative systems. Collaborative architectures, consistency of replicated objects, collaborative user-interfaces, application and system taxonomies, application-level multicast, performance, causality, operation transformation, and concurrency and access control.",COMP
2486,COMP 651,Computational Geometry," Required preparation, a first course in algorithms (e.g., COMP 550). Design and analysis of algorithms and data structures for geometric problems. Applications in graphics, CAD/CAM, robotics, GIS, and molecular biology.",COMP
2487,COMP 655,Cryptography," Introduction to design and analysis of cryptographic algorithms. Topics include basis of abstract algebra and number theory, symmetric and asymmetric encryption algorithms, cryptographic hash functions, message authentication codes, digital signature schemes, elliptic curve algorithms, side-channel attacks, selected advanced topics",COMP
2488,COMP 662,Scientific Computation II," Theory and practical issues arising in linear algebra problems derived from physical applications, e.g., discretization of ODEs and PDEs. Linear systems, linear least squares, eigenvalue problems, singular value decomposition.",COMP
2489,COMP 664,Deep Learning," Introduction to the field of deep learning and its applications. Basics of building and optimizing neural networks, including model architectures and training schemes.",COMP
2490,COMP 665,"Images, Graphics, and Vision","Required preparation, a first course in data structures and a first course in discrete mathematics (e.g., COMP 410 and MATH 383). Display devices and procedures. Scan conversion. Matrix algebra supporting viewing transformations in computer graphics. Basic differential geometry. Coordinate systems, Fourier analysis, FDFT algorithm. Human visual system, psychophysics, scale in vision.",COMP
2491,COMP 672,Simulation Modeling and Analysis," Introduces students to modeling, programming, and statistical analysis applicable to computer simulations. Emphasizes statistical analysis of simulation output for decision-making. Focuses on discrete-event simulations and discusses other simulation methodologies such as Monte Carlo and agent-based simulations. Students model, program, and run simulations using specialized software. Familiarity with computer programming recommended.",COMP
2492,COMP 690,Special Topics in Computer Science,This course has variable content and may be taken multiple times for credit.  COMP 690 courses do not count toward the major or minor.,COMP
2493,COMP 691H,Honors Thesis in Computer Science,For computer science majors only and by permission of the department. Individual student research for students pursuing an honors thesis in computer science under the supervision of a departmental faculty adviser.,COMP
2494,COMP 692H,Honors Thesis in Computer Science,Permission of the department.  Required of all students in the honors program in computer science.  The construction of a written honors thesis and an oral public presentation of the thesis are required.,COMP
2495,COMP 715,Visualization in the Sciences,"Computational visualization applied in the natural sciences. For both computer science and natural science students. Available techniques and their characteristics, based on human perception, using software visualization toolkits. Project course.",COMP
2496,COMP 720,Compilers," Tools and techniques of compiler construction. Lexical, syntactic, and semantic analysis. Emphasis on code generation and optimization.",COMP
2497,COMP 721,Database Management Systems," Database management systems, implementation, and theory. Query languages, query optimization, security, advanced physical storage methods and their analysis.",COMP
2498,COMP 722,Data Mining," Data mining is the process of automatic discovery of patterns, changes, associations, and anomalies in massive databases. This course provides a survey of the main topics (including and not limited to classification, regression, clustering, association rules, feature selection, data cleaning, privacy, and security issues) and a wide spectrum of applications.",COMP
2499,COMP 723,Software Design and Implementation," Principles and practices of software engineering. Object-oriented and functional approaches. Formal specification, implementation, verification, and testing. Software design patterns. Practicum.",COMP
2500,COMP 724,Programming Languages, Selected topics in the design and implementation of modern programming languages. Formal semantics. Type theory. Inheritance. Design of virtual machines. Garbage collection. Principles of restructuring compilers.,COMP
2501,COMP 730,Operating Systems," Theory, structuring, and design of operating systems. Sequential and cooperating processes. Single processor, multiprocessor, and distributed operating systems.",COMP
2502,COMP 734,Distributed Systems," Design and implementation of distributed computing systems and services. Inter-process communication and protocols, naming and name resolution, security and authentication, scalability, high availability, replication, transactions, group communications, distributed storage systems.",COMP
2503,COMP 735,Distributed and Concurrent Algorithms," Verification of concurrent systems. Synchronization; mutual exclusion and related problems, barriers, rendezvous, nonblocking algorithms. Fault tolerance: consensus, Byzantine agreement, self-stabilization. Broadcast algorithms. Termination and deadlock detection. Clock synchronization.",COMP
2504,COMP 737,Real-Time Systems," Taxonomy and evolution of real-time systems. Timing constraints. Design, implementation, and analysis of real-time systems. Theory of deterministic scheduling and resource allocation. Case studies and project.",COMP
2505,COMP 740,Computer Architecture and Implementation, Architecture and implementation of modern single-processor computer systems. Performance measurement. Instruction set design. Pipelining. Instruction-level parallelism. Memory hierarchy. I/O system. Floating-point arithmetic. Case studies. Practicum.,COMP
2506,COMP 741,Elements of Hardware Systems," Issues and practice of information processing hardware systems for computer scientists with little or no previous hardware background. System thinking, evaluating technology alternatives, basics of electronics, signals, sensors, noise, and measurements.",COMP
2507,COMP 744,VLSI Systems Design," Required preparation, knowledge of digital logic techniques. Introduction to the design, implementation, and realization of very large-scale integrated systems. Each student designs a complete digital circuit that will be fabricated and returned for testing and use.",COMP
2508,COMP 750,Algorithm Analysis," Algorithm complexity. Lower bounds. The classes P, NP, PSPACE, and co-NP; hard and complete problems. Pseudo-polynomial time algorithms. Advanced data structures. Graph-theoretic, number-theoretic, probabilistic, and approximation algorithms.",COMP
2509,COMP 752,Mechanized Mathematical Inference, Propositional calculus. Semantic tableaux. Davis-Putnam algorithm. Natural deduction. First-order logic. Completeness. Resolution. Problem representation. Abstraction. Equational systems and term rewriting. Specialized decision procedures. Nonresolution methods.,COMP
2510,COMP 755,Machine Learning," Machine Learning methods are aimed at developing systems that learn from data. The course covers data representations suitable for learning, mathematical underpinnings of the learning methods and practical considerations in their implementations.",COMP
2511,COMP 761,Introductory Computer Graphics,A computer graphics module course with one credit hour of specific COMP 665 content.,COMP
2512,COMP 763,Semantics and Program Correctness, Formal characterization of programs. Denotational semantics and fixed-point theories. Proof of program correctness and termination. Algebraic theories of abstract data types. Selected topics in the formalization of concurrent computation.,COMP
2513,COMP 764,Monte Carlo Method," Relevant probability and statistics. General history. Variance reduction for sums and integrals. Solving linear and nonlinear equations. Random, pseudorandom generators; random trees. Sequential methods. Applications.",COMP
2514,COMP 766,Visual Solid Shape," 3D differential geometry; local and global shape properties; visual aspects of surface shape. Taught largely through models and figures. Applicable to graphics, computer vision, human vision, and biology.",COMP
2515,COMP 767,Geometric and Solid Modeling," Curve and surface representations. Solid models. Constructive solid geometry and boundary representations. Robust and error-free geometric computations. Modeling with algebraic constraints. Applications to graphics, vision, and robotics.",COMP
2516,COMP 768,Physically Based Modeling and Simulation," Geometric algorithms, computational methods, simulation techniques for modeling based on mechanics and its applications.",COMP
2517,COMP 770,Computer Graphics," Study of graphics hardware, software, and applications. Data structures, graphics, languages, curve surface and solid representations, mapping, ray tracing and radiosity.",COMP
2518,COMP 775,Image Processing and Analysis," Approaches to analysis of digital images. Scale geometry, statistical pattern recognition, optimization. Segmentation, registration, shape analysis. Applications, software tools.",COMP
2519,COMP 776,Computer Vision in our 3D World," Fundamental problems of computer vision. Projective geometry. Camera models, camera calibration. Shape from stereo, epipolar geometry. Photometric stereo. Optical flow, tracking, motion. Range finders, structured light. Object recognition.",COMP
2520,COMP 777,Optimal Estimation in Image Analysis, Formulation and numerical solution of optimization problems in image analysis.,COMP
2521,COMP 781,Robotics," Introduction to the design, programming, and control of robotic systems. Topics include kinematics, dynamics, sensing, actuation, control, robot learning, tele-operation, and motion planning. Applications will be discussed including industrial, mobile, assistive, personal, and medical robots.",COMP
2522,COMP 782,Motion Planning in Physical and Virtual Worlds," Topics include path planning for autonomous agents, sensor-based planning, localization and mapping, navigation, learning from demonstration, motion planning with dynamic constraints, and planning motion of deformable bodies. Applications to robots and characters in physical and virtual worlds will be discussed.",COMP
2523,COMP 786,Natural Language Processing," Artificial intelligence and machine learning field to build automatic models that can analyze, understand, and generate text. Topics include syntactic parsing, co-reference resolution, semantic parsing, question answering, document summarization, machine translation, dialogue models, and multi-modality.",COMP
2524,COMP 787,Visual Perception," Surveys form, motion, depth, scale, color, brightness, texture and shape perception. Includes computational modeling of vision, experimental methods in visual psychophysics and neurobiology, recent research and open questions.",COMP
2525,COMP 788,Expert Systems," Languages for knowledge engineering. Rules, semantic nets, and frames. Knowledge acquisition. Default logics. Uncertainties. Neural networks.",COMP
2526,COMP 790,Topics in Computer Science,Permission of the instructor. This course has variable content and may be taken multiple times for credit.,COMP
2527,COMP 822,Topics in Discrete Optimization," Topics may include polynomial algorithms, computational complexity, matching and matroid problems, and the traveling salesman problem.",COMP
2528,COMP 824,Functional Programming," Programming with functional or applicative languages. Lambda calculus; combinators; higher-order functions; infinite objects. Least fixed points, semantics, evaluation orders. Sequential and parallel execution models.",COMP
2529,COMP 825,Logic Programming," Propositional calculus, Horn clauses, first-order logic, resolution. Prolog: operational semantics, relationship to resolution, denotational semantics, and non-logical features. Programming and applications. Selected advanced topics.",COMP
2530,COMP 831,Internet Architecture and Performance, Internet structure and architecture; traffic characterization and analysis; errors and error recovery; congestion and congestion control; services and their implementations; unicast and multicast routing.,COMP
2531,COMP 832,Multimedia Networking," Audio/video coding and compression techniques and standards. Media streaming and adaptation. Multicast routing, congestion, and error control. Internet protocols RSVP, RTP/RTCP. Integrated and differentiated services architecture for the Internet.",COMP
2532,COMP 841,Advanced Computer Architecture," Concepts and evolution of computer architecture, machine language syntax and semantics; data representation; naming and addressing; arithmetic; control structures; concurrency; input-output systems and devices. Milestone architectures.",COMP
2533,COMP 842,Advanced Computer Implementation," Required preparation, knowledge of digital logic techniques. The application of digital logic to the design of computer hardware. Storage and switching technologies. Mechanisms for addressing, arithmetic, logic, input/output and storage. Microprogrammed and hardwired control.",COMP
2534,COMP 844,Advanced Design of VLSI Systems," Advanced topics in the design of digital MOS systems. Students design, implement, and test a large custom integrated circuit. Projects emphasize the use of advanced computer-aided design tools.",COMP
2535,COMP 850,Advanced Analysis of Algorithms," Design and analysis of computer algorithms. Time and space complexity; absolute and asymptotic optimality. Algorithms for searching, sorting, sets, graphs, and pattern-matching. NP-complete problems and provably intractable problems.",COMP
2536,COMP 870,Advanced Image Synthesis," Advanced topics in rendering, including global illumination, surface models, shadings, graphics hardware, image-based rendering, and antialiasing techniques. Topics from the current research literature.",COMP
2537,COMP 872,Exploring Virtual Worlds," Project course, lecture, and seminar on real-time interactive 3D graphics systems in which the user is 'immersed' in and interacts with a simulated 3D environment. Hardware, modeling, applications, multi-user systems.",COMP
2538,COMP 875,Recent Advances in Image Analysis," Lecture and seminar on recent advances in image segmentation, registration, pattern recognition, display, restoration, and enhancement.",COMP
2539,COMP 892,Practicum,"Permission of the instructor. Work experience in an area of computer science relevant to the student's research interests and pre-approved by the instructor. The grade, pass or fail only, will depend on a written report by the student and on a written evaluation by the employer.",COMP
2540,COMP 910,Computer Science Module,A variable-credit module course that can be used to configure a registration for a portion of a class.,COMP
2541,COMP 911,Professional Writing in Computer Science,Graduate computer science majors only. Analysis of good and bad writing. Exercises in organization and composition. Each student also writes a thesis-quality short technical report on a previously approved project.,COMP
2542,COMP 915,Technical Communication in Computer Science,"Graduate computer science majors or permission of the instructor. Seminar on teaching, short oral presentations, and writing in computer science.",COMP
2543,COMP 916,Seminar in Professional Practice,"Required preparation, satisfaction of M.S. computer science program product requirement. The role and responsibilities of the computer scientist in a corporate environment, as an entrepreneur, and as a consultant. Professional ethics.",COMP
2544,COMP 917,Seminar in Research,"Graduate computer science majors only. The purposes, strategies, and techniques for conducting research in computer science and related disciplines.",COMP
2545,COMP 918,Research Administration for Scientists,"Graduate standing required. Introduction to grantsmanship, research grants and contracts, intellectual property, technology transfer, conflict of interest policies. Course project: grant application in NSF FastLane.",COMP
2546,COMP 980,Computers and Society,"Graduate computer science majors only. Seminar on social and economic effects of computers on such matters as privacy, employment, power shifts, rigidity, dehumanization, dependence, quality of life.",COMP
2547,COMP 990,Research Seminar in Computer Science,Permission of the instructor. Seminars in various topics offered by members of the faculty.,COMP
2548,COMP 991,Reading and Research,Permission of the instructor. Directed reading and research in selected advanced topics.,COMP
2549,COMP 992,Master's (Non-Thesis),Permission of the department.,COMP
2550,COMP 993,Master's Research and Thesis,Permission of the department.,COMP
2551,COMP 994,Doctoral Research and Dissertation,Permission of the department.,COMP
2552,EURO 89,First-Year Seminar: Special Topics,Special topics course. Content will vary each semester.,EURO
2553,EURO 159,From War to Prosperity: 20th-Century Europe,"A critical overview of 20th-century European history, with particular attention to the constant ethnic, religious, social, economic, and cultural struggles (including Holocaust, Cold War) in various subunits of the old continent.",EURO
2554,EURO 190,Special Topics Seminar in Contemporary European Studies,A detailed examination of selected topics in the field of Contemporary European Studies.,EURO
2555,EURO 239,Introduction to European Government,"A treatment of the political institutions and processes of western European democracies, with special attention to France, Germany, England, and Italy. Honors version available.",EURO
2556,EURO 252,"Politics, Society, and Culture in Modern Germany (1871-1945)","This course explores the history of Modern Germany, by focusing on Imperial Germany, the Weimar Republic and the Third Reich. We will study continuities and changes in politics, society, and culture and examine the lasting impact of World War I, World War II and the Holocaust.",EURO
2557,EURO 257,"Politics, Society, and Culture in Postwar Germany","The interdisciplinary seminar will explore cultural, historical, and political issues of contemporary Germany and analyze German developments from the postwar period to the present. Readings and discussions in English.",EURO
