Unnamed: 0,CourseNumber,CourseTitle,CourseDescription,CourseDepartment,University
669,ITCS 8222 , Biomedical Signal Processing ,"Topics include: Fundamental techniques in processing, analysis, feature extraction, and classification of complex signals; origin and processing techniques for biomedical signals, including ECG, ENG, EEG, MEG, ERG, EMG, respiratory signals, blood sound, and pressure signals.",Computer Science,UNCC
670,ITCS 8224 , Biomedical Image Processing ,"Topics include: Review of image processing and pattern recognition (2-D Fourier transforms, 2-D Wavelet transform, denoising of medical images); origin and processing of X-ray images; CT images; MRI images; ultrasonic images; PET images; thermal images; electrical impedance images; cross-registration between images of different source; stereotactic neurosurgery; stereotactic radiosurgery/radiotherapy; robot-assisted surgery.",Computer Science,UNCC
671,ITCS 8226 , Bioinformatics ,"Topics include: Brief Review of molecular biology, proteins and their classifications, DNA, RNA, and using microarrays and gene chips for sequencing; review of computational techniques for bioinformatics, expectation maximization, Bayesian classifiers, dynamic programming, information theory and entropy analysis, Markov chain models, and neural networks; computational techniques for local and multiple sequence alignment; application of Markov chains in finding genes; using information theory to estimate binding sites, start Codon prediction; RNA secondary structure prediction; computational techniques for protein function prediction; Advanced signal processing techniques in feature extraction from protein sequences.",Computer Science,UNCC
672,ITCS 8228 , Medical Informatics ,"Focuses on methods and techniques used in storage, communication, processing, analysis, integration, management, and distribution of medical information. Emphasizes the applications of telemedicine and intelligent computeraided decision making systems in different medical and surgical systems. Discusses the computational methods to accept or reject a new drug or a new treatment for a given disease.",Computer Science,UNCC
673,ITCS 8265 , Advanced Topics in Knowledge Discovery in Databases ,"Continuation and extension of ITCS 8162 . Information visualization in data mining and knowledge discovery, predictive data mining, mining of multimedia sources, mining of unstructured data, distributed data mining, mining of Web data/information, mining complex types of data, mining of biotechnology data, applications and trends in data mining.",Computer Science,UNCC
674,ITCS 8267 , Intelligent Information Retrieval ,"Topics include: definition of the information retrieval problem, modeling the information retrieval problem, evaluation of information retrieval, query languages and operations, text processing, indexing and searching, parallel and distributed information retrieval, user interface and visualization, multimedia information retrieval, and information retrieval applications.",Computer Science,UNCC
675,ITCS 8500 , Complex Adaptive Systems ,"Complex adaptive systems (CAS) are networked (agents/part interact with their neighbors and, occasionally, distant agents), nonlinear (the whole is greater than the sum of its parts), adaptive (the system learns to change with its environment), open (new resources are being introduced into the environment), dynamic (the change is a norm), emergent (new, unplanned features of the system get introduced through the interaction of its parts/agents), and selforganizing (the parts organize themselves into a hierarchy of subsystems of various complexity). Ant colonies, networks of neurons, the immune system, the Internet, social institutions, organization of cities, and the global economy are a few examples where the behavior of the whole is much more complex than the behavior of the parts. Covers these and similar topics in an interactive manner. Examples of our current research effort are provided. Topics include: Self-organization; emergent properties; learning; agents; localization affect; adaptive systems; nonlinear behavior; chaos; complexity.",Computer Science,UNCC
676,ITCS 8690 , Computer Science Seminar ,Experience for the advanced Ph.D. student on current problems of computer design and application. (May be used by a student or small group of students to work with a professor on a topic of mutual interest. May be used to give a course on a topic announced in advance.),Computer Science,UNCC
677,ITSC 8110 , Introduction to Computing and Information Systems Research ,"Computing and Information Systems has a wide range of research areas encompassing the fields of Business Information Systems, Bioinformatics, Computer Science, and Software and Information Systems. This seminar is intended to give Ph.D. in Computing and Information Systems students a sound understanding of the different research areas in Information Technology. The seminar is to be taken during the first year of studies and is intended to be the gateway to the fields within Information Technology and will enable students to select the fields matching their interests early in their studies. Through attending weekly indepth research presentations from faculty in all participating units in the Ph.D. in Computing and Information Systems program and conducting literature surveys in areas of interest, students are expected to gain the knowledge they need to identify the areas of interest for themselves.",Computing and Informatics,UNCC
678,ITSC 8123 , Applied Management Science ,Mathematical model building aimed at integrating methods and applications. Overview of mathematical programming in practice and a series of projects implementing models in business and the public sector.,Computing and Informatics,UNCC
679,ITSC 8141 , Operations Management ,"Design, operation, and control of service and manufacturing systems. Emphasis on using analytical tools for problem solving in process analysis and re-engineering, work-force management, materials and inventory management, aggregate planning, total quality management, and others",Computing and Informatics,UNCC
680,ITSC 8142 , Quality and Manufacturing Management ,"Current issues and advances in operations management including just-in-time inventory management, total quality management, continuous improvement, flexible manufacturing systems, computer integrated manufacturing systems, technology evaluation and selection, and operations strategy.",Computing and Informatics,UNCC
681,ITSC 8699 , Graduate Research Seminar ,"This seminar is intended to expose Ph.D. in Computing and Information Systems students to current research in Computing and Information Systems through attending weekly research presentations by other students, CIS faculty, and invited speakers. Each student is expected to give one or more presentations for the Graduate Research Seminar before graduation. Students must sign up for and receive credit for the Graduate Research Seminar every semester that they are in the Ph.D. in Computing and Information Systems Program until they are admitted to Ph.D. candidacy.  Students taking ITSC 8110   should not register for ITSC 8699 for the same semester.",Computing and Informatics,UNCC
682,ITSC 8880 , Individual Study ,"With the direction of a faculty member, students plan and implement appropriate objectives and learning activities to develop specific areas of expertise through research, reading, and individual projects. ",Computing and Informatics,UNCC
683,ITSC 8990 , Pre-Dissertation Research ,Students conduct research in information technology under the direction of one or more CIS faculty. A major goal of this course is to prepare the student for the Qualifying Examination. ,Computing and Informatics,UNCC
684,ITSC 8991 , Doctoral Dissertation Research ,Individual investigation culminating in the preparation and presentation of a doctoral dissertation. ,Computing and Informatics,UNCC
685,CMET 5126 , Projects Scheduling and Control ,"Methods for planning, scheduling, and controlling construction projects, emphasizing manual and computer-based techniques for critical path method scheduling, resource management, construction cost control, and reporting practices.  ",Construction and Facilities Management,UNCC
686,CMET 5135 , Building Information Modeling ,"The creation, management, and application of building information models to the construction, operation, and maintenance of a facility.  Focus on 3D and 4D computer models of building components, renderings, animations, and interfacing with analysis tools. ",Construction and Facilities Management,UNCC
687,CMET 5140 , Building Energy Management ,"Integrated planning of energy efficient technologies for building environmental control systems. Introduction to the design, planning, and optimization of HVAC systems and technology needed to integrate the heating, cooling, natural ventilation, lighting, electricity, and building energy management systems into a building’s structure and design.",Construction and Facilities Management,UNCC
688,CMET 5150 , Green Building ,"Sustainable design and construction. Topics include: sustainable sites, water efficiency, energy and atmosphere, materials and resources, indoor environmental quality, innovation in design, and regional priority. ",Construction and Facilities Management,UNCC
689,CMET 5160 , Advanced Construction Materials ,"Materials utilized in concrete, concrete construction, and quality control. Study of concrete properties and the variables that affect them. Topics also include: destructive and non-destructive testing of structural concrete, service life prediction models, and preventative measures, as well as recent advances in concrete materials, construction, and technology. ",Construction and Facilities Management,UNCC
690,CMET 5290 , Temporary Structures in Construction ,"Temporary structures used to support construction operations such as concrete formwork, scaffolding systems, shoring systems, cofferdams, underpinning, slurry walls, and construction dewatering systems.",Construction and Facilities Management,UNCC
691,CMET 5350 , Construction Geotechnics and Foundations ,"Study of the concepts and fundamental principles of construction geotechnics related to foundation engineering/construction excavations, temporary structures, dewatering and slope stability. ",Construction and Facilities Management,UNCC
692,CMET 6000 , Special Topics in Construction and Facility Management ,Study of specific new areas emerging in the various fields of construction and facility management.  ,Construction and Facilities Management,UNCC
693,CMET 6135 , Advanced Construction Planning and Management ,"Advanced methods for planning and controlling construction projects. Specific topics of study include resource allocation, leveling and management, critical path method (CPM) and project evaluation and review techniques (PERT) of scheduling, project controls through cost-schedule integration, and schedule compression.",Construction and Facilities Management,UNCC
694,CMET 6145 , Facilities Management Financial Analysis ,"Real property concepts, issues, and topics pertinent to the facility management professional to include fundamentals of commercial real estate investment, understanding market influences, contracts and property portfolio management.",Construction and Facilities Management,UNCC
695,CMET 6155 , Facility Instrumentation and Controls ,Design and analysis of industrial process control instrumentation. Topics include: process control devices and process control applications associated with industrial instrumentation and building and facility operation.,Construction and Facilities Management,UNCC
696,CMET 6160 , Research and Analytical Methods ,"Analytical and research techniques applicable to construction and facility management problems. Topics of study include defining research problems, experiment design, measurement, sampling, and analysis.",Construction and Facilities Management,UNCC
697,CMET 6165 , Transportation Asset Management ,"Management and planning techniques for transportation infrastructure assets. Focus on recent advances for maintaining and managing transportation assets, including performance management, prioritization of maintenance strategies, network and project level optimization. ",Construction and Facilities Management,UNCC
698,CMET 6180 , Alternative Project Delivery Methods ,"Study of the many organizational arrangements between construction owners, designers, contractors, and financiers. Delivery methods studied include design-bid-build (DBB), design-build (DB), construction management (agency CM and CM@Risk), design-build-operate (DBO), and design-build-finance-operate (DBFO).",Construction and Facilities Management,UNCC
699,CMET 6240 , Safety and Risk Management ,"Causes and prevention of industrial accidents, hazardous processes and material, OSHA regulations and requirements, and design of accident prevention programs. ",Construction and Facilities Management,UNCC
700,CMET 6250 , Asset Management for Facility Managers ,Study of useful life of building and infrastructure systems and creating a process to manage their life cycles; emphasis on justifying and funding capital projects.,Construction and Facilities Management,UNCC
701,CMET 6255 , Advanced Plant Layout and Design ,"Designing construction sites and facility plants with respect to material handling, equipment location, auxiliary services, capital requirements, safety, and personnel organization.",Construction and Facilities Management,UNCC
702,CMET 6270 , Operation of Constructed Facilities ,"Acquisition, operation, maintenance, and disposal of building systems, structures, permanent interiors, furniture, and equipment; grounds and other exterior elements. ",Construction and Facilities Management,UNCC
703,CMET 6275 , Advanced Construction Means and Methods ,"Construction means, methods, and equipment used to transform a particular design concept into a completed usable structure or facility. Emphasis is placed on current and innovative construction techniques and equipment. ",Construction and Facilities Management,UNCC
704,CMET 6285 , Quality Assurance in Construction ,"The principles and applications of quantitative methods of quality control to production processes with an introduction to process control charts, Pareto charts, and other quality analysis tools for the construction industry.",Construction and Facilities Management,UNCC
705,CMET 6295 , Design and Improvement of Construction Operations ,"Design of construction operations based on productivity concepts. Techniques for collecting data, analyzing, and formulating solutions to improve construction operations is emphasized.",Construction and Facilities Management,UNCC
706,CMET 6800 , Independent Study in Construction and Facility Management ,Individual investigation and exposition of results for a directed project in construction and facility management. ,Construction and Facilities Management,UNCC
707,CMET 6900 , Master’s Thesis and Research ,Individual investigation culminating in the preparation and presentation of a thesis.,Construction and Facilities Management,UNCC
708,CSLG 6000 , Topics in Counseling ,May include classroom and/or clinic experiences in the content area. ,Counseling,UNCC
709,CSLG 6100 , Counseling Theories ,"Examination of the counseling relationship from various theoretical frameworks, including client-centered, psychoanalytic, Gestalt, transactional analysis, rational emotive, reality, and behavior theories. ",Counseling,UNCC
710,CSLG 6101 , Ethical and Professional Issues in Counseling ,"Ethical and legal responsibilities, ethical standards, interpretations of laws by local authorities, and court decisions that impact the counseling profession. Skills of practical, ethical, and legal consultation are also emphasized. ",Counseling,UNCC
711,CSLG 6104 , Counseling Across the Lifespan ,"Examines major theories of human development across the lifespan from psychological, emotional, cognitive, physical, social and moral perspectives.  In addition, a framework for understanding sociocultural, situational, environmental factors that impact individuals, families and communities is provided.  Specific counseling methods and techniques that can be utilized in an integrated approach to help individuals and families address developmental challenges are integrated throughout the course. ",Counseling,UNCC
712,CSLG 6109 , Research in Counseling ,"Examination of principles and practices for research and development of programs in counseling with emphasis on developmental designs, preventive programs, objectives and organizations. ",Counseling,UNCC
713,CSLG 6110 , Counseling Techniques ,Examination of concepts of individual counseling and the means for establishing facilitative relationships including competence in basic counseling skills and interventions. ,Counseling,UNCC
714,CSLG 6111 , Advanced Counseling Techniques ,"Counseling interventions useful in facilitating client change and growth from an action-oriented, problem management perspective. Strategies for cognitive, affective, and behavioral change will be practiced.",Counseling,UNCC
715,CSLG 6115 , Person-to-Person Relationships ,Examination of concepts and methods for improving human relationships. This course has an experiential component. ,Counseling,UNCC
716,CSLG 6120 , Group Counseling ,Investigation of concepts of group counseling and the means for developing facilitative interaction in groups which will include an experiential component as a major learning activity. ,Counseling,UNCC
717,CSLG 6121 , The Leadership and Design of Structured Groups ,"Methods of creating psychoeducational groups. Focus on applying psychological theories to the selection of group content. Leadership issues such as screening, dealing with difficult members, and leader roles are addressed. ",Counseling,UNCC
718,CSLG 6145 , Multicultural Counseling ,Approaches to counseling that focus on multicultural differences so the counselor will be more effective in dealing with clients from a variety of cultural backgrounds. ,Counseling,UNCC
719,CSLG 6150 , Career Development and Counseling ,"Designed to help counselors and/or career educators develop skills to use career theory and information with an emphasis on understanding individual lifestyle development, career education over the life span, and supportive career counseling. ",Counseling,UNCC
720,CSLG 6152 , Approaches to Career Development (K- 12) ," Credit&nbsp;Hours:&nbsp;(3)Counselors and vocational development coordinators gain an understanding and skills necessary for (1) the development, management and evaluation of a comprehensive, competency-based K-12 career education/ counseling program, (2) infusing career education into K-12 curriculum in a counselor/consultant capacity, and (3) establishing and leading successful individual and group career development activities. ",Counseling,UNCC
721,CSLG 6153 , Diagnosis and Treatment in Counseling ,"Developing diagnostic skills using the Diagnostic and Statistical Manual of Mental Disorders (DSM-V) multiaxial classification system for mental and emotional disorders. Provides an overview of theory, research, and practice related to diagnosis and treatment. Diagnostic criteria is studied with a sensitivity to cultural and ethnic issues.",Counseling,UNCC
722,CSLG 6160 , Theories of Addiction ,"Introduction to the theoretical, philosophical, and historical premises upon which addiction is explained and treatment and prevention are based.  Biological, psychological, and sociological etiologies of substance use and related addictive disorders are studied. ",Counseling,UNCC
723,CSLG 6161 , Assessment and Diagnosis of Addictive Disorders ,Process and procedures for professional biopsychosocial assessment and diagnosis of substance use and related addictive disorders in adolescents and adults.  Implications of addiction for clients and their families are addressed. ,Counseling,UNCC
724,CSLG 6162 , Interventions in Addiction Counseling ,A counseling techniques course designed to help students who have worked as professional addiction counselors and those who have little or no experience working with addicted individuals and their families. ,Counseling,UNCC
725,CSLG 6163 , Treatment Planning and Relapse Prevention in Addiction Counseling ,"An introduction to the principles and practices upon which addiction treatment and relapse prevention are based.  Students gain practical experience in assessment, diagnosis, treatment planning, and relapse prevention planning with addicted clients. ",Counseling,UNCC
726,CSLG 6164 , The McLeod Institute on Addiction ,"A hybrid course delivered through a combination of independent learning, self-directed study, attending the McLeod Institute on Addiction conference, and completing all required course assignments by end of Summer Session I.  The McLeod Institute on Addiction is a conference offered annually during the third week in May.  The topics vary yearly and are designed to provide both broad and specific knowledge germane to addiction counseling. Cross-listed as: CSLG 8164 . ",Counseling,UNCC
727,CSLG 6200 , Introduction to Theories of Family Counseling ,Examination of appropriate interventions in working with families focusing on major theorists and techniques in the field. ,Counseling,UNCC
728,CSLG 6201 , Counseling Needs of Women ,"Women’s development and needs, the problems they bring to counselors, strategies for helping with them, myths about women and biases in psychological research. ",Counseling,UNCC
729,CSLG 6202 , Counseling Military Families and Children ,"Provides the opportunity to learn about the unique culture of military families and children.  Specific challenges and stressors they encounter while serving in the U.S. Armed Forces are thoroughly addressed.  Some of the topics explored include: characteristics of active duty personnel; National Guard and Reserve members; military children; stages of deployment; and various social, emotional, physical, and mental health concerns.  Students completing this course also learn about evidence-based approaches and interventions, and develop a more in-depth understanding of how to work effectively with this specific population.Cross-listed as: CSLG 8202    ",Counseling,UNCC
730,CSLG 6204 , Counseling Military Veterans ,"A comprehensive overview of issues impacting military veterans.  Specific cultural factors such as race, gender, and sexual orientation are also taken into consideration.  Topics include:  career transitions, family matters, mental health stigma, traumatic brain injury, suicide, PTSD, depression, homelessness, and addiction.  Resilience and strength of military veterans is also addressed.  In addition, students learn about evidence-based techniques, strategies, and approaches utilized to work effectively with military veterans.Cross-listed as: CSLG 8204    ",Counseling,UNCC
731,CSLG 6800 , Individual Study in Counseling ,Independent study under the supervision of an appropriate faculty member. ,Counseling,UNCC
732,CSLG 7110 , Individual Assessment ,"Examination of the major aptitude, intelligence. and other psychological tests commonly used in counseling with emphasis on test theory as well as the administration, scoring, and interpretation of tests and the communication of their results. ",Counseling,UNCC
733,CSLG 7120 , Administration and Supervision of Counseling Services ,"Planning, operation, implementation and supervision of counseling and guidance services in schools and agencies with emphasis on the development of administrative and supervisory skills. ",Counseling,UNCC
734,CSLG 7140 , Consultation in School Counseling ,"Introduction to the professional school counselor’s role (K-12) in counseling, consulting, and coordinating school and community resources for the optimum benefit of the student. ",Counseling,UNCC
735,CSLG 7141 , The Professional School Counselor ,"An introduction to the profession of school counseling using the ASCA National Model as a basis for practice and program development. To support the school academic mission, students identify the necessary skills needed for the integration of various counseling activities that will include classroom guidance, individual and group counseling, consultation, program design, and coordinating school and community resources. Students also begin developing their professional School Counselor E-portfolio.Cross-listed as: CSLG 8141    ",Counseling,UNCC
736,CSLG 7142 , Introduction to Play Therapy ,Enhancing the counseling relationship with children by using play media to establish facilitative relationships with children under the age of ten years.Cross-listed as: CSLG 8142 .  ,Counseling,UNCC
737,CSLG 7143 , Filial Therapy: An Approach to Parent Training ,An advanced level play therapy course that focuses on concepts and skills for training parents/caretakers/teachers to be therapeutic agents in their children’s lives through the utilization of child centered play therapy skills in regularly scheduled structured play sessions with children.,Counseling,UNCC
738,CSLG 7144 , Contemporary Theories of Play Therapy ,"An advanced exploration of fundamental issues involved in play therapy, this seminar course focuses on an in-depth study of various theoretical approaches, modalities, techniques, and applications of play therapy. Historical and theoretical foundations of play therapy are presented as are current issues in providing appropriate counseling services to children aged three to ten years old.Cross-listed as: CSLG 8144 .  ",Counseling,UNCC
739,CSLG 7145 ," Special Topics in Play Therapy: Group, Conference, or Supervision ","Focuses on a variety of topics in play therapy such as conference, supervision of play therapy, and group play therapy.  May be offered in alternative formats, such as weekend sessions and distance learning options.Cross-listed as: CSLG 8145 .  ",Counseling,UNCC
740,CSLG 7146 , Counseling Adolescents ,"Focuses on counseling preadolescents and adolescents. Attention is given to the cognitive and socio-emotional development of preadolescents and adolescents, current issues affecting this population, ethical considerations when counseling this age group, and developmentally responsive counseling interventions.",Counseling,UNCC
741,CSLG 7151 , Approaches to Adult Career Development ,For the career development specialist who needs to survey an environment in which adults are seeking career counseling; assess needs; develop interventions strategies to meet needs; and assess outcomes.,Counseling,UNCC
742,CSLG 7153 , Research Techniques and Computer Applications in Career Counseling ,"Skills in preparing a literature review upon which to base a research study; critiquing theoretical, philosophical, and research material and reports; and conducting and reporting a research study. Focus on understanding the effective application of computer technology to the provision of career-related services in mental health, education, rehabilitative or other human services settings.",Counseling,UNCC
743,CSLG 7160 , Solution-Focused Brief Therapy ,An introduction to counseling in a time-limited manner while helping clients understand how they maintain their problems and how to construct solutions.,Counseling,UNCC
744,CSLG 7170 , Introduction to Clinical Mental Health Counseling ,"Counseling in community agency settings, including the roles and functions of a professional counselor, assessing the needs of an agency population and the interworkings of various agencies and agency networks. ",Counseling,UNCC
745,CSLG 7190 , Introduction to Pastoral Counseling ,Introduction to the field of pastoral counseling including both theological and counseling dimensions.,Counseling,UNCC
746,CSLG 7191 , Advanced Issues in Pastoral Counseling ,Specific content relevant to pastoral counseling including didactic and experiential foci.,Counseling,UNCC
747,CSLG 7205 , Techniques of Family Counseling ,"An overview of techniques used by family counselors working from communications, structural or strategic orientations.",Counseling,UNCC
748,CSLG 7430 , Practicum in Counseling ,Supervision of individual and group counseling interventions conducted in field setting; special attention to the development of the counseling relationship of evaluative criteria for self and peer assessment. A minimum of 10 hours per week is required in field experience.,Counseling,UNCC
749,CSLG 7435 , Internship in Counseling ,Students participate in delivering counseling services in a field setting and receive supervision of their work during weekly seminars. A minimum of 20 hours per week in field experience is required.,Counseling,UNCC
750,CSLG 7436 , Advanced Internship in School Counseling ,Offered specifically for students enrolled in the Post-Master’s Certificate Program in School Counseling. A minimum of 20 hours per week in field placement is required and students have the opportunity to demonstrate advanced level skills in weekly seminars.  Grading Method: Graded on a Pass/Unsatisfactory basis. ,Counseling,UNCC
751,CSLG 7600 , Sexual Orientation Diversity in Clinical Practice ,"Considers the experience of being gay, lesbian, bisexual, or transgendered in our society. Theoretical understandings of sexual orientation are covered, as well as the impact of societal prejudice on gay, lesbian, bisexual, and transgendered individuals and their communities. The experience of diversity with such communities is discussed, especially racial/ethnic diversity. Exploration of individual values combines with an emphasis on clinical practice to make this course relevant both personally and professionally. ",Counseling,UNCC
752,CSLG 7601 , Counseling and Spirituality ,Incorporates the spiritual dimension into the counseling process. It is specifically designed to help counselors understand their own spirituality and facilitate the inclusion of the spirituality of others with whom they provide counseling services. Spirituality is viewed as an important component to the achievement of mental health and to a balanced sense of wellness. Basic beliefs and various models spiritual development are examined. ,Counseling,UNCC
753,CSLG 7645 , Cognitive-Behavior Theory and Practice ,"An introduction to the theory and practice of cognitive-behavior therapy that can be applied in the school setting. Major theories (cognitive therapy, cognitive behavior modification, REBT, and reality therapy) are examined, and treatment planning and application of techniques are studied. ",Counseling,UNCC
754,CSLG 7646 , Advocacy and Leadership in Professional School Counseling ,"Developing effective leadership skills for school counselors with an emphasis on organization, planning, management, and evaluation of comprehensive school counseling programs based on the ASCA National Model. Developing skills in the utilization of data for systemic change and student success are detailed in individual student advocacy projects. Requires the completion of their professional School Counselor E-portfolio.Cross-listed as: CSLG 8646    ",Counseling,UNCC
755,CSLG 7680 , Crisis Counseling ,"Focuses on a general crisis intervention model and its application to specific crisis situations. Topics include: suicide intervention, rape crisis, telephone counseling, and disaster intervention. ",Counseling,UNCC
756,CSLG 7681 , Grief and Loss Counseling ,"Examines the theory of loss, the tasks involved in grieving, and the skills needed by a counselor working with grief and loss issues. Loss will be examined from a broad perspective and includes issues associated with death, loss of relationships, and loss of abilities. ",Counseling,UNCC
757,CSLG 7800 , Individual Study in Counseling ,Independent study under the supervision of an appropriate faculty member. ,Counseling,UNCC
758,CSLG 8000 , Topics in Counseling ,May include classroom and/or clinic experiences in the content area.  ,Counseling,UNCC
759,CSLG 8100 , Advanced Theories of Counseling ,The principles and practices of traditional and more current theories are examined. Students explore philosophical and psychological assumptions of the counseling theories and engage in critical thinking as they examine the rationale and consequences of their pre-conceived notions about conditions that influence human behavior and change. ,Counseling,UNCC
760,CSLG 8105 , Doctoral Seminar ,"Required in the first semester of doctoral study. The course serves as an orientation for doctoral students about the doctoral program, doctoral culture, the counseling faculty, and current and emerging professional issues in counselor education and supervision. Students will become familiar with CACREP standards and how they apply to counselor education. In addition, students will have the opportunity to learn about the research trends in the field of counseling. Finally the course will address professional development as a scholar.  Grading Method: Graded on a Pass/Unsatisfactory basis. ",Counseling,UNCC
761,CSLG 8106 , Advanced Multicultural Career Counseling ,Designed to help advance student’s level of knowledge by examining the most recent career development theory and research practices. Provides knowledge and require students to use higher level critical thinking skills needed to enhance the quality of the career development interventions delivered to diverse populations in our global economy. Students should have completed an introductory course in career development and counseling before enrolling in this course. ,Counseling,UNCC
762,CSLG 8107 , Advanced Group Seminar ,Enhance understanding of group theory and practice. Integrates advanced group theory with application of group leadership skills. Students develop counseling skills by providing leadership to small laboratory counseling groups. Group leadership skills are linked to theoretical stages of group development. ,Counseling,UNCC
763,CSLG 8110 , Clinical Supervision in Counseling ,"A critical overview of the conceptual and empirical literature on counseling supervision, including models, approaches/techniques, relationship and process issues, and ethical and legal considerations. Students will develop conceptual knowledge, skills, and self-awareness concerning these topic areas through readings, seminar discussions, and application via supervising master’s level students. ",Counseling,UNCC
764,CSLG 8111 , Solution-Focused Brief Therapy ,An introduction to counseling in a time-limited manner while helping clients understand how they maintain their problems and how to construct solutions.,Counseling,UNCC
765,CSLG 8141 , The Professional School Counselor ,"An introduction to the profession of school counseling using the ASCA National Model as a basis for practice and program development.  To support the school academic mission, students identify the necessary skills needed for the integration of various counseling activities that will include classroom guidance, individual and group counseling, consultation, program design, and coordinating school and community resources.  Students also begin developing their professional School Counselor E-portfolio.Cross-listed as: CSLG 7141    ",Counseling,UNCC
766,CSLG 8142 , Introduction to Play Therapy ,Enhancing the counseling relationship with children by using play media to establish facilitative relationships with children under the age of ten years.Cross-listed as: CSLG 7142 .  ,Counseling,UNCC
767,CSLG 8143 , Filial Therapy: An Approach to Parent Training ,An advanced level play therapy course that focuses on concepts and skills for training parents/caretakers/teachers to be therapeutic agents in their children’s lives through the utilization of child centered play therapy skills in regularly scheduled structured play sessions with children.,Counseling,UNCC
768,CSLG 8144 , Contemporary Theories of Play Therapy ,"An advanced exploration of fundamental issues involved in play therapy, this seminar course focuses on an in-depth study of various theoretical approaches, modalities, techniques, and applications of play therapy. Historical and theoretical foundations of play therapy are presented as are current issues in providing appropriate counseling services to children aged three to ten years old.Cross-listed as: CSLG 7144 .  ",Counseling,UNCC
769,CSLG 8145 ," Special Topics in Play Therapy: Group, Conference, or Supervision ","Focuses on a variety of topics in play therapy such as conference, supervision of play therapy, and group play therapy. The course may offer alternative formats, such as weekend sessions and distance learning options.Cross-listed as: CSLG 7145 .  ",Counseling,UNCC
770,CSLG 8146 , Counseling Adolescents ,"Focuses on counseling preadolescents and adolescents. Attention is given to the cognitive and socio-emotional development of preadolescents and adolescents, current issues affecting this population, ethical considerations when counseling this age group, and developmentally responsive counseling interventions.",Counseling,UNCC
771,CSLG 8153 , Diagnosis and Treatment in Counseling ,"Developing diagnostic skills using the Diagnostic and Statistical Manual of Mental Disorders (DSM-V) multiaxial classification system for mental and emotional disorders. Provides an overview of theory, research, and practice related to diagnosis and treatment. Diagnostic criteria is studied with a sensitivity to cultural and ethnic issues.",Counseling,UNCC
772,CSLG 8160 , Theories of Addiction ,"Introduction to the theoretical, philosophical, and historical premises upon which addiction is explained and treatment and prevention are based.  Biological, psychological, and sociological etiologies of substance use and related addictive disorders are studied. ",Counseling,UNCC
773,CSLG 8161 , Assessment and Diagnosis of Addictive Disorders ,Process and procedures for professional biopsychosocial assessment and diagnosis of substance use and related addictive disorders in adolescents and adults.  Implications of addiction for clients and their families are addressed. ,Counseling,UNCC
774,CSLG 8162 , Interventions in Addiction Counseling ,A counseling techniques course designed to help students who have worked as professional addiction counselors and those who have little or no experience working with addicted individuals and their families. ,Counseling,UNCC
775,CSLG 8163 , Treatment Planning and Relapse Prevention in Addiction Counseling ,"An introduction to the principles and practices upon which addiction treatment and relapse prevention are based.  Students gain practical experience in assessment, diagnosis, treatment planning, and relapse prevention planning with addicted clients. ",Counseling,UNCC
776,CSLG 8164 , The McLeod Institute on Addiction ,"A hybrid course delivered through a combination of independent learning, self-directed study, attending the McLeod Institute on Addiction conference, and completing all required course assignments by end of Summer Session I.  The McLeod Institute on Addiction is a conference offered annually during the third week in May.  The topics vary yearly and are designed to provide both broad and specific knowledge germane to addiction counseling. Cross-listed as: CSLG 6164 . ",Counseling,UNCC
777,CSLG 8200 , Introduction to Theories of Family Counseling ,Examination of appropriate interventions in working with families focusing on major theorists and techniques in the field. ,Counseling,UNCC
778,CSLG 8201 , Counseling Needs of Women ,"Women’s development and needs, the problems they bring to counselors, strategies for helping with them, myths about women and biases in psychological research. ",Counseling,UNCC
779,CSLG 8202 , Counseling Military Families and Children ,"Provides the opportunity to learn about the unique culture of military families and children.  Specific challenges and stressors they encounter while serving in the U.S. Armed Forces are thoroughly addressed.  Some of the topics explored include: characteristics of active duty personnel; National Guard and Reserve members; military children; stages of deployment; and various social, emotional, physical, and mental health concerns.  Students completing this course also learn about evidence-based approaches and interventions, and develop a more in-depth understanding of how to work effectively with this specific population.Cross-listed as: CSLG 6202    ",Counseling,UNCC
780,CSLG 8203 , Instructional Theory in Counselor Education ,"Prepares students to become professors in counselor education. An examination of the theories and methods of teaching in higher education will be explored. Readings from professional journals, lecture, discussion, and practical application in the classroom are used to meet course objectives. ",Counseling,UNCC
781,CSLG 8204 , Counseling Military Veterans ,"A comprehensive overview of issues impacting military veterans.  Specific cultural factors such as race, gender, and sexual orientation are also taken into consideration.  Topics include:  career transitions, family matters, mental health stigma, traumatic brain injury, suicide, PTSD, depression, homelessness, and addiction.  Resilience and strength of military veterans is also addressed.  In addition, students learn about evidence-based techniques, strategies, and approaches utilized to work effectively with military veterans.Cross-listed as: CSLG 6204    ",Counseling,UNCC
782,CSLG 8345 , Advanced Multicultural Counseling ,"An advanced exploration of fundamental issues involved in culturally competent counseling, this seminar course focuses on an in-depth study of various cultures seeking counseling services. Students examine various oppression models and have an opportunity to apply them to cultures in our community. ",Counseling,UNCC
